"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36"
"u_thr_1",29.3812130683622,280.96079317437,21.3098629396845,41238.0381632469,62100.1580430191,22063.2385500634,36785.9796629056,65063.3781632516,86.8427863481741,7.13232440188889,9232.75356699291,10997.9449667958,4905.12887082033,8857.93817528293,9727.85307151599,87.9035805310093,7.87923331204397,9692.15030897391,9299.52042645853,3347.33153947459,8612.49004745481,9989.38137764631,139.136160525894,9.47129390364448,15778.0470508384,20216.6571629846,13646.6158931152,21217.5149452517,99.3810152424809,258.844440620984,15.1735376405685,35628.4791860722,73544.9585635846,13796.5709642834,33292.2631387957,77237.6199563498
"l_thr_1",-6.85396064353624,-82.2069360203153,-4.52303141335004,-14804.4919533292,-23344.0942433587,-6720.1760599553,-13847.7817302288,-23481.2373481925,-15.5849062158626,-1.29728771255013,-2407.82911389514,-2729.56326795233,-1012.56802464371,-2315.40509543597,-2486.13100499623,-19.3130714369937,-1.87622904159128,-2933.92923985435,-2203.6319758834,-713.913669528733,-2774.92634749187,-2828.56970618814,-51.7571470267177,-2.93184819172008,-6759.32413188991,-10361.4115498648,-5683.98435261814,-10593.2126283925,-22.5524353761772,-106.037216585122,-5.61686022927718,-18076.6156568729,-39492.6351510044,-5653.3913676002,-16354.2334827604,-42491.9906327879
"u_thr_2",17.3509093474249,102.609628295072,9.13014904992519,6881.20458064977,7566.77764682592,2397.4517859055,6602.99741042947,7574.70412395786,73.9753307921543,7.59140899984074,4290.87157775491,4898.41129797882,1762.65399944007,4445.54774151857,4897.31921107037,55.6212431103884,6.0150359962538,2997.00590640809,3169.39037401369,1648.01963944064,2477.78832735978,3271.12678876686,46.7903880852095,5.02991500703829,2550.68628318979,2154.23427766857,2004.97150735315,2497.29472401454,47.2195459423284,54.07774140872,7.92961589940659,2743.87001693178,5022.80111172787,2417.78934608233,2017.06734143531,5618.43964649317
"l_thr_2",-3.79200569648467,-29.9428902528738,-2.20635243287295,-2206.65371806154,-2605.61918584909,-903.317855469054,-2137.56752619405,-2447.26372537305,-17.1458482582867,-1.59730417912625,-1231.87894263447,-1398.4639867149,-527.796613331446,-1600.8741220537,-1361.01038525098,-14.0148942783142,-1.42831538008778,-891.120525972049,-913.395286286946,-390.979519110013,-623.765664448475,-814.912464375256,-12.2042325511851,-1.08415990247101,-762.094144112352,-600.063892086112,-604.617870926289,-713.955734849855,-11.2378476630069,-12.7151748327501,-2.25628597839769,-760.898019603651,-1742.69598247219,-791.301082519969,-432.427167643167,-1982.65771064063
