"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34"
"u_thr_1",22.9324695522091,300.021641109929,23.6451695586317,44325.5976211084,62464.2310681677,39238.8885569948,68933.4965660148,98.2517171878858,8.92772858790969,9605.61390318075,10129.471619338,8168.53384130694,11116.6114325923,71.3725265460014,7.90880070186829,7382.24034608123,9012.49291756156,3951.79266015895,5578.12324416617,7845.74172700023,92.1633856830344,7.25714232557473,8299.56076086797,9941.34248817121,3721.82818892935,7964.10511067715,10019.6967530313,145.858360494093,9.12825302144113,16150.5086404653,27768.3604594711,6089.5524700625,15189.1686918532,27755.1556616872
"l_thr_1",-5.63443818884435,-94.5304995335909,-4.95487645829669,-16367.3517500142,-22071.857970382,-14844.1133782781,-23559.4222678332,-22.3589499356701,-2.01519542124657,-2133.04615682151,-1456.49963266577,-2661.9447697994,-1727.04329916955,-5.76403652202289,-1.76524662458378,-1911.7814508574,-1799.16777513902,-722.521454007131,-774.441920295955,-946.744126643839,-24.1254167852542,-1.76653036725276,-1470.34160141281,-2292.7895565135,-801.979152430935,-1998.29986689903,-2261.14423729472,-26.9691917374672,-1.39236440307954,-4519.61944388983,-4576.02947185256,-1440.22689964778,-4081.27002598571,-5571.02419789641
"u_thr_2",17.8105293295863,141.732569084758,9.3743776906382,23465.1150064279,20858.4317342808,16308.6352466731,27464.5731841037,72.1206580544196,6.84406327785754,10530.7716137921,5828.93419945891,5204.06654264605,9971.48821841462,69.3848714997372,8.12056509403038,7778.73253916208,4112.35386569437,2645.0413981752,3546.46065234428,7416.25012104432,76.579513423808,9.00707081228832,5627.71021972758,4599.41483679967,1915.41635366229,4254.18834241522,5803.54661466352,100.581384572955,9.24579899404603,6577.91850636856,7685.55651324616,2764.86477258901,6456.36990592449,7690.79750521864
"l_thr_2",-2.32617710481568,-41.2565225942753,-2.85303980316429,-6184.48110597871,-5481.89144559584,-4068.32710511987,-8943.83822033862,-15.3455324905965,-1.38558053233232,-1866.01687224444,-1389.65857941839,-1276.38737832741,-2148.54801219976,-20.3915744861503,-1.92332776715169,-2091.33242504642,-609.779577302743,-293.258930782793,-991.300969758226,-1759.25570088883,-29.9340723088793,-3.44483771419478,-1862.96762202862,-1332.48184698308,-391.957483742239,-1451.05799002019,-1816.28961290783,-14.5268220671309,-1.52280359047964,-1277.0938330914,-288.163541869636,-685.01415912597,-1073.36056092877,-564.974074533019
