"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38"
"u_thr_1",38.1016816613456,212.000161214275,14.3057249039695,36305.4347174232,29670.550216454,23886.8816406847,21552.2596230504,43795.9490955223,128.542202964407,11.717076896481,18316.2103586395,10021.689598494,11325.6333224021,8293.9811574644,19053.1892217006,42.8737429281363,110.348059177376,12.721636161013,12460.999219354,7080.04346933688,8108.34189315789,5576.22948456458,14040.4136950413,104.575374219895,10.7559571294183,7916.24766036918,6615.85453986076,4425.69763415231,5491.55870058216,9131.62358835953,62.1334352345216,143.646152682048,12.722268765613,10700.7404989985,11424.7157954104,3557.53406947283,10203.9493624838,11226.2056044859
"l_thr_1",-15.9879802053431,-84.3185594959838,-6.24057307056869,-15266.2232282276,-11613.1886396103,-10529.6435471098,-8602.20232103281,-18388.6229578456,-50.5927106185573,-4.43681707650167,-8127.23076888575,-4390.34759753866,-4832.21507982336,-3660.58460105793,-8482.65765760603,-17.3494405015401,-44.453514430732,-5.1221268819308,-5639.33319026101,-2955.25956214118,-3223.1910655902,-2253.80273545278,-6425.05627360879,-42.2123101541707,-4.29866475313445,-3679.08178536887,-2677.30263659703,-1845.66070206223,-2695.9142262233,-3673.57973349481,-26.1930935898467,-58.7002126421985,-5.31563220504748,-4931.75501338913,-4635.25608862146,-1786.33466392218,-4607.16394761736,-4691.10143117232
"u_thr_2",23.6860716669722,131.340044302974,12.6883514167166,9140.58426420417,9125.52137226809,3306.35510093543,8023.93901968118,10015.9696121202,106.618267473247,11.2124152858676,6089.48256203246,6584.9625029044,1998.62824164304,5517.52432976175,6824.83985319626,143.635694681773,87.0435825535094,9.23821119490482,4183.57445723132,4953.63613323022,1770.20275313412,3881.24804383942,4694.81837684441,74.5380895555258,8.15504099388904,3589.81192408039,3239.38677940883,1345.06545118381,3143.79319344541,3757.43208706915,67.9988108345677,83.05010575224,10.4918301475989,3507.78336494831,7208.60548208942,2818.69013446836,2741.29553573994,7903.97311190088
"l_thr_2",-8.66813736236097,-48.5809720671444,-4.72844508616738,-3899.61559067673,-3939.95714838774,-1756.29274944033,-3257.04768694554,-4495.23036916602,-46.5686427473797,-4.7421229577244,-2757.71810640388,-3147.47845634738,-955.743734999788,-2504.34426350199,-3318.11295682941,-73.2425006784154,-37.6336553627608,-4.09675323178026,-1907.64567352172,-2344.02742870871,-840.20611301319,-1716.24064745571,-2093.40772903879,-32.7609038984952,-3.34536475668062,-1546.76171002231,-1561.58942379904,-709.201184738803,-1480.2545436856,-1674.26592734907,-32.3784155465773,-36.2485477886456,-3.89687277296323,-1669.41099937612,-3284.55080583864,-1414.67903328368,-1219.43854648537,-3605.45093408616
