"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38"
"u_thr_1",23.7136958045329,208.042339976928,13.9457937980795,34280.8316710669,26966.3809501454,10191.22353559,21796.5004558855,32810.0096462085,159.903030669435,13.8508518425964,19648.1604584322,11687.8082835458,6832.5838638064,10524.6306550538,20109.2654813116,26.8997600313374,139.118208424705,14.1907852948118,13551.9618808199,9068.46331906827,3956.24375693,7533.09889428046,15217.9517073836,124.076854517157,12.677991611557,8024.64169174317,8417.87919425718,2518.56266588078,6142.30569129883,9877.79179828086,28.3051069948386,146.877628788461,13.3975031085996,11305.3228333981,13164.076940272,3009.50786361936,9993.69238670132,12848.2304305019
"l_thr_1",-7.79265806209914,-77.7399339468246,-4.45652997392099,-12761.9149008381,-7837.62841007991,-3106.43208325329,-8791.78858844031,-9602.60675723778,-71.074445525579,-5.654940563292,-9115.64605862373,-4864.95354129812,-2567.76102684669,-5230.53628913916,-8746.77672297259,-10.0587762884296,-65.574428393818,-5.41812324285494,-6459.78853587461,-3909.38043598128,-1461.63142117997,-3255.24212693131,-7317.22128608935,-60.2453665903198,-5.83004243165609,-3796.42553075352,-3851.6619427379,-857.56420931354,-2794.06504957749,-4165.11984733999,-8.40377399457735,-56.5335306523521,-5.37948209492099,-5297.62657549622,-4832.20653615569,-1105.13664596764,-4372.55133339248,-4631.12122385003
"u_thr_2",24.2385158694603,159.362050279138,14.0054880636888,10154.8245255463,12561.2933079378,2679.30043644144,9364.81016250906,12893.7217131127,118.208422387347,10.6862317902731,8436.81874407507,7011.65038500437,2030.14930491465,7785.2384878727,7427.49367609691,152.521227963855,81.6293045673712,8.06005353478279,4781.60005787583,4036.00830648287,1342.37185148808,3862.49350694744,4531.76984140647,89.0191827804533,9.45678639308989,4299.92156838988,3513.63419535446,1053.79748332449,3425.3507264669,4282.16214770592,55.350818927599,128.471337125067,14.0156109085232,4556.77246014819,11281.9546376032,2307.17632535209,3976.90179297059,11730.7023924523
"l_thr_2",-7.95269589738283,-62.9265159230278,-5.38957475435326,-3768.01241910865,-6154.17536249737,-1094.88637151388,-3778.97574527993,-6020.59339815143,-54.3118122257547,-4.71361413616282,-4003.64555510049,-3560.25504132356,-891.611408684347,-3977.06433767961,-3612.33401727762,-82.4559267227899,-29.8308909501559,-2.95220310930985,-2018.7359725317,-1671.7990939158,-436.749250104393,-1532.33401625386,-1719.17409348001,-43.7643929677989,-4.49682982758135,-2117.33639145358,-1640.13835955382,-380.89778238384,-1633.09249738446,-2031.38560877857,-16.9411151189957,-70.9659575745712,-6.53020097682023,-2304.96786215472,-6275.2646160496,-1049.47357287489,-1899.61900789508,-6497.80864771638
