"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38"
"u_thr_1",22.5168687295825,192.389634984117,12.1294469062227,33782.8673221951,32991.8795921661,20068.9180909194,21711.0886450333,43271.0203754325,115.193069144953,10.5714876775153,17386.5403323125,10857.1384413098,9265.91923635343,8114.92553806071,19018.5425703531,31.6177274813592,99.5148135922484,10.5091007289975,11745.0492989264,7667.99118038664,6189.52468920609,5463.8669090429,13261.0598176257,94.8481988400482,9.34740197096522,7046.73054699079,6848.7314074083,3188.42346503597,5138.22752314129,8697.22880207105,43.3658936610352,129.302283509488,10.7902631206607,11330.676532001,12005.5608189674,2641.04091008334,11446.9517976669,11876.2713812268
"l_thr_1",-5.04136839975348,-60.9064013820799,-3.86818802176993,-11258.4654762024,-11915.1831791708,-6040.62573523678,-8246.324876042,-14389.728888278,-39.1405001615331,-3.10997482191646,-6225.10693563069,-4247.22561995825,-2979.89715236424,-3465.47447762188,-6708.73335125325,-8.41873490127265,-32.2988905610187,-3.04744407970708,-4483.63380022621,-2996.93758344521,-2050.45035440139,-1930.36713896626,-4789.08303791316,-28.7159002306056,-2.49589100444174,-2445.65840242123,-2433.36259666281,-1137.53618086588,-1871.11493359713,-2824.44062121384,-8.34266955743822,-45.9661471623422,-3.52684027203288,-5341.77358621873,-5034.17454798732,-796.437939593663,-5502.81489150025,-4766.69476484749
"u_thr_2",17.479987524482,108.030596769566,10.6211855271904,7538.13090843049,7319.27250731402,2261.84112031203,6688.19760291798,7943.66038899015,82.2307484785478,8.48469441949173,5115.39755059888,5063.54437957667,1354.64140229613,4427.04823710296,5196.58010259041,95.9761386021268,61.5772010650648,6.6314467540824,3367.19433453154,3387.47299456867,1104.93437137316,2832.76076037983,3712.21600753167,56.8416384139768,6.48746262849426,2954.19884504543,2527.20910350065,834.153225453286,2366.28348261789,3107.64413473676,45.0859405081051,68.7320521997929,9.79028635164896,2795.99446785344,6763.2975090249,2216.91036782369,2239.1753328565,7337.59916291922
"l_thr_2",-3.35870652189388,-22.0846218867009,-2.42130009823688,-1785.02090612898,-2138.79876834185,-631.449084507507,-1543.52940139297,-2327.33881889752,-19.6521515549944,-2.05714121334331,-1415.38026252784,-1543.8839969778,-316.251498622298,-1103.38656653527,-1595.40768888466,-29.1324407546903,-11.3327943801738,-1.33742534428306,-1014.84349104691,-600.10693457844,-251.290755481599,-693.482855247952,-1065.52638197127,-13.1527200367506,-1.51187119384509,-877.721520062617,-685.294574785052,-220.081519938205,-569.71406139832,-889.998386428864,-10.7003009800239,-18.189378378645,-2.60133073401934,-808.204615295533,-2329.75130712229,-791.83981175448,-636.33918488902,-2615.20157285406
