"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38"
"u_thr_1",37.0805827331128,290.862149474643,18.3287360455843,50077.1247507749,54728.0305287608,16324.3117746228,38081.7973889063,62478.0259561047,144.321270977094,12.0618911284313,21598.6028585845,16383.8726544565,7360.58747679275,12343.8305441672,23908.1173275302,23.9168618803947,116.427837546631,11.8883343245384,12653.1154358584,9363.00668408312,5221.97993010012,6915.73667945493,15203.2088110314,110.941180004374,10.506028810305,7857.93683882182,9994.42879290536,3232.30317167162,6320.59903166441,10325.1254799771,23.2222513638758,173.476538196117,12.2481865764273,15476.8233471795,18540.3467365222,2671.59279370751,17016.7083586119,18069.0035168599
"l_thr_1",-10.7672969609169,-129.471096749903,-7.84183178653825,-23066.6446050565,-28034.1222665957,-5913.84231852577,-18152.4206950794,-29995.8829048362,-56.3783999120216,-4.88481013109688,-10601.9847551362,-7573.6005256718,-3172.22340175754,-5999.44948525429,-11162.0273373673,-11.0822397756764,-50.7956320823305,-4.89190441589796,-5944.60149865756,-3980.84265796224,-1799.89929691501,-3313.10202519596,-7130.01037102118,-49.5242588263819,-3.9611029167086,-3716.67131395567,-4996.90470429114,-1062.72312962756,-3021.44239514943,-4797.58682890341,-7.52680590348601,-88.3146147588079,-5.34754351834825,-8916.09055532958,-10739.4367508809,-819.463444392855,-10339.7434124235,-10441.7738793273
"u_thr_2",26.0136816633042,159.417114132558,13.2064381885422,8949.63802496328,11187.5906975286,2979.94286671199,8934.13826353819,11439.0542860724,121.27895166282,9.75551420992101,7272.77530124683,8102.90610309029,1636.87323462724,7075.69606612806,7537.14334232976,145.531390011286,85.1942326459565,8.88158289531888,6416.09869970855,4303.82028761448,2058.42984694405,4119.46591286912,6106.62657002119,91.8851390746336,8.21049796235535,4619.84721966129,3897.37017904328,1153.52930032877,3945.7482626809,4694.60005477301,42.0073464139195,98.7428185611951,12.0501655723686,3790.28318112013,9242.89857858535,2192.45226817768,3408.0217611272,9452.47195665312
"l_thr_2",-8.12241725465651,-66.527400373692,-4.68324399984822,-3477.85010148403,-5982.88623340693,-1279.14837442835,-4028.75380261612,-5620.82378450564,-54.6144004612532,-3.15939499557062,-3288.84356604041,-4286.88213237289,-565.496683302119,-3729.42307268349,-3477.08720551661,-68.9757713636817,-29.2684191088448,-3.08143777144477,-3300.83938146812,-1860.24089252174,-903.760085279572,-1918.17923736055,-2754.79045544613,-33.8526801966145,-2.16060311497541,-1969.45852288476,-1571.08734417733,-481.713978182041,-1691.02859320027,-1913.63060339489,-9.98066993482534,-37.1821524709582,-4.12133985159095,-1443.36636505559,-4511.14199402267,-854.781973260434,-1441.18460422662,-4230.22440266467
