"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34"
"u_thr_1",22.7781536609116,221.622427986835,20.0721897300892,30287.8549184109,49544.8543183028,24570.2338135584,52926.333100224,62.801831827184,5.44486198790617,6856.2479278135,8182.12112014885,6795.00005776212,7673.88328783465,62.8503555971876,6.38394583354041,8069.89194119951,7247.54002171772,3389.15330042829,5613.1017884989,8312.9609259045,63.7343825143068,4.79463766847438,6218.16425952375,8039.30758730371,4592.56558797417,6415.05516505736,6678.68029574092,115.459119476846,8.17248587487057,15064.3628447859,25984.9536027867,8891.96280747998,15154.762321807,26124.6630101018
"l_thr_1",-5.70639600028056,-69.1046862614107,-6.43415965931815,-10455.7332118293,-18342.1032796324,-7899.97362454538,-20445.7374505269,-12.3571115367434,-1.25681181753591,-1936.93891887736,-1571.52662078308,-1599.33456318709,-1840.72212739579,-12.603801314997,-1.49782691881024,-2271.98171651135,-1434.81780296103,-933.576761725016,-1140.9588246316,-2407.47685390181,-13.3838965515756,-0.844041415326482,-594.836610851394,-1930.58891493275,-963.793232282747,-1147.53851897416,-1365.37109007625,-20.6087868373238,-1.37727755397973,-3810.14534584103,-5941.26163588713,-1944.74933849612,-4168.38334890009,-5893.24205276152
"u_thr_2",17.861833322813,103.73227786786,7.18509873142765,19840.3958067235,16570.3827634345,12711.9123505769,21696.4640741484,56.6289681473763,6.25084340351566,7634.18951200718,5883.14137495522,4191.97657507682,8771.76769116441,56.5795464476895,6.42298658378068,6378.08004733845,4826.61017805942,6586.18523833269,3214.62785913192,6922.80441409344,56.8345269225037,5.64765160645152,3954.07024277519,4606.47679050368,3720.32261700545,2969.42167615224,5176.99033157616,79.9831543405053,7.03105108949181,5096.50571273651,8089.4635322237,2358.56601651584,5259.30853666935,7785.38812369978
"l_thr_2",-3.7046288331159,-21.2595637233599,-2.37049634804048,-5683.81409090996,-4091.26954675503,-2682.47845592643,-6497.28735149169,-10.905157254777,-1.65430324227022,-1537.43155311643,-1813.35298955486,-955.702437690765,-1971.58999786663,-14.5389964347725,-1.51122558979719,-1925.66912544329,-1311.89380081156,-1540.81536870949,-952.524236477726,-1872.39449627974,-14.4640880436548,-1.30242255972938,-967.874717945008,-1587.12629563456,-917.859065626749,-922.675241711714,-1424.07521209963,-17.1830390937157,-1.601856473556,-726.47652865861,-2855.0161641426,-631.430181938713,-875.032694892722,-2658.86457387111
