"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38"
"u_thr_1",33.5942098391215,187.30693448842,12.5935334060913,32007.7965552856,26230.2386451153,21018.8378750351,19039.3877943768,38613.9014244083,113.61429349916,10.3709190653991,16112.5902646791,8820.68649882462,9979.14595554994,7297.76734425421,16758.5353150917,37.8551443089966,97.4479280433674,11.2346559074343,10952.6381852194,6243.76821671371,7164.04747992889,4923.72679956313,12334.9578643205,92.3430671887225,9.5014053058722,6949.97020655768,5841.42477515595,3903.08443946777,4809.26929001504,8064.52331153834,54.7728911658243,126.783955571694,11.2191103513913,9398.0325396329,10086.3848050744,3112.21167502324,8969.6899199754,9899.76335151439
"l_thr_1",-11.4805083831191,-59.6253327701289,-4.5283815726905,-10968.58506609,-8172.8770682716,-7661.59978146025,-6089.33049235921,-13206.5752867316,-35.6648011533103,-3.09065924541978,-5923.61067492531,-3189.34449786927,-3485.72771297124,-2664.37078784773,-6188.00375099715,-12.3308418824004,-31.553383296723,-3.63514662835215,-4130.97215612643,-2118.98430951801,-2278.89665236119,-1601.30005045133,-4719.60044288794,-29.9800031229986,-3.04411292958839,-2712.80433155737,-1902.87287189221,-1323.04750737769,-2013.62481565618,-2606.47945667362,-18.8325495211493,-41.8380155318446,-3.81247379082577,-3629.04705402349,-3296.92509828548,-1341.0122694726,-3372.90450510893,-3364.6591782008
"u_thr_2",20.9898875811944,116.346626272131,11.2369517081429,8053.90094296409,8036.73149554677,2884.46778007078,7083.85679412895,8806.70294701299,93.8526916215278,9.88287043223495,5352.21583966277,5773.92575630009,1752.43057692281,4849.03528032311,5979.59378569412,125.562511735091,76.6538127271535,8.12696415934773,3675.97277966857,4345.49750306864,1552.66868095518,3414.79065289816,4129.13286802081,65.5965067676907,7.19667384800823,3161.7641212385,2839.30542914151,1173.87656485693,2758.45588201783,3304.79058586763,59.6340419694723,73.1085512904995,9.29277157088536,3076.35050125461,6334.17579142875,2465.90937048902,2411.23436222117,6944.85444140197
"l_thr_2",-5.97195327658321,-33.5875540363011,-3.27704537759371,-2812.93226943666,-2851.16727166642,-1334.40542857568,-2316.96546139331,-3285.96370405884,-33.8030668956608,-3.41257810409173,-2020.45138403419,-2336.44170974306,-709.546070279552,-1835.85521406334,-2472.86688932727,-55.169317731733,-27.2438855364049,-2.98550619622317,-1400.04399595896,-1735.88879854714,-622.672040834247,-1249.78325651445,-1527.72222021519,-23.8193211106601,-2.38699761079982,-1118.71390718042,-1161.50807353171,-538.012298411918,-1094.91723225802,-1221.62442614755,-24.0136466814819,-26.3069933269052,-2.69781419624972,-1237.97813568242,-2410.12111517797,-1061.89826930434,-889.377372966593,-2646.33226358724
