"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36"
"u_thr_1",36.8832356504808,418.630921431828,31.669972061609,59766.2938699851,94199.0839150268,35200.7755474481,52333.8670256049,108519.857344728,151.922517778596,11.5464636822533,15478.5855263829,16447.7300444247,5210.94062233613,14966.9634570728,15366.8372617385,163.965720329732,14.0973977654173,18086.0828090823,15161.5479464217,4895.72497714239,13250.1322142791,18323.2251345021,170.403994922854,11.9414368146141,16881.3329360955,17601.4224835696,16043.2055719238,17228.5705285809,134.584111535473,209.575710310691,13.3236255865414,23951.2245279034,42872.4155282578,9309.4289931161,24002.1306333473,41313.410506609
"l_thr_1",-16.4698901928401,-172.133311308604,-11.5371641971486,-27038.3959503054,-42568.8696532937,-16545.3727370787,-22457.1775459792,-51709.4529874249,-52.193962472044,-3.8438708641353,-6617.28787149759,-5685.64631926823,-1975.77214758532,-5472.3489675604,-5594.29717271115,-72.2592278521442,-6.35116246175755,-8424.51756373454,-6874.6293859573,-1731.00338133225,-6252.93705393908,-8229.03072309396,-79.2811327402411,-5.59148820535532,-7961.87975384103,-7539.7506191445,-7919.90776361906,-7687.4373096297,-52.1518276399361,-96.8931571488896,-6.01706827256482,-11207.1376568499,-19782.1995157217,-4662.96873957069,-11027.5176168931,-17538.3694906339
"u_thr_2",26.5732494735036,124.198617974883,11.5896336384498,7867.75766764755,7952.16724848382,2952.428454572,7355.16006758691,8523.94383126318,93.9384167802884,10.3981929031748,6183.22505569933,5952.35645049264,1946.89480410194,4570.08811424183,6572.27649981223,72.3571663864244,7.65229617703926,4168.87980481112,3798.39695128334,1683.85234288288,2999.99189659336,4959.61189737548,72.4059467717704,7.82174158254421,4018.05873663892,2898.5748174773,2958.80676679265,3901.44919491309,67.1077338518925,87.8344025624182,9.60294853556478,3976.15181117859,6030.36891011854,1993.74409776547,3081.79005818774,6093.52196072333
"l_thr_2",-10.7155809774623,-50.2656463767638,-4.86534196204437,-3419.52111709529,-2856.2085367439,-1399.74337863308,-3272.36391503847,-3295.3380226041,-40.8599439184068,-4.58487830298777,-2821.55867123069,-3197.74006289554,-912.731070350708,-2227.05553108186,-3166.78575103371,-29.2361385538307,-3.18915986123794,-1931.51798323624,-1729.66617353309,-868.121152890964,-1135.81399833631,-2343.73206348537,-29.7104644161001,-3.39983391499898,-1941.96571501537,-1304.56208953223,-1232.80148304778,-1879.54672083722,-31.9887942204913,-35.2486964610563,-4.32011620742709,-1815.28073401353,-2307.30854705277,-847.442580977362,-1302.04211576705,-2464.47192042234
