"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34"
"u_thr_1",28.1190067223851,276.133761908381,25.0421302406031,37927.2776928309,62273.6588679156,30658.3977082028,66683.5963284898,76.8941337079204,6.70142582642656,8504.97046156803,10010.9300715736,8368.93779919009,9457.87180319036,76.9980100182223,7.86177822460616,10008.9932520203,8875.48211384498,4199.66518708204,6879.48815346086,10323.0430096182,78.1940598391598,5.85188999668705,7495.60192271908,9908.66318147304,5634.38286677234,7833.04148081327,8186.93993058164,140.971851910753,9.96306651778,18603.3331305285,31971.1189600381,10923.8463348505,18777.8521350646,32128.0202093887
"l_thr_1",-11.0472490617541,-123.616020182957,-11.404100169832,-18095.1559862493,-31070.9078292452,-13988.1375191898,-34203.0006787927,-26.4494134174798,-2.5133756560563,-3585.6614526319,-3400.33557220782,-3173.27230461506,-3624.71064275149,-26.7514557360316,-2.97565930987599,-4211.08302733214,-3062.7598950883,-1744.08864837876,-2407.34518959357,-4417.55893761549,-27.8435738764285,-1.90129374353914,-1872.27427404673,-3799.94450910209,-2005.61051108092,-2565.52483473008,-2873.63072491697,-46.1215192712307,-3.16785819688916,-7349.11563158358,-11927.4269931385,-3976.63286586664,-7791.47316215768,-11896.5992520484
"u_thr_2",21.9055449770496,127.168248166213,8.97677280882792,24626.1851625297,20444.442571595,15598.3606267963,26982.792466456,69.29161666028,7.73305839960051,9353.86846171785,7326.23406830086,5157.16638997074,10786.1472578577,69.9142732381511,7.91065136632653,7935.03301723502,5977.57967409773,8109.9978521531,3995.96887705873,8571.90420978841,70.2030172286584,6.95079051261044,4876.93492291022,5767.7773691546,4589.98168249898,3699.18984825173,6414.69012101537,98.2018156094218,8.64972125756328,6188.3148829981,10141.5534752924,2919.19030372607,6409.49751758724,9743.68550449432
"l_thr_2",-7.74834048735256,-44.6955340217136,-4.16217042544075,-10469.6034467162,-7965.32935491556,-5568.9267321458,-11783.6157437992,-23.5678057676807,-3.13651823835508,-3257.1105028271,-3256.4456829005,-1920.89225258469,-3985.96956455995,-27.8737232252341,-2.99889037234303,-3482.62209533986,-2462.86329684987,-3064.6279825299,-1733.86525440453,-3521.49429197471,-27.8325783498095,-2.6055614658883,-1890.73939808004,-2748.42687428548,-1787.51813112029,-1652.44341381121,-2661.77500153884,-35.4017003626322,-3.22052664162746,-1818.2856989202,-4907.10610721128,-1192.05446914894,-2025.22167581061,-4617.16195466566
