"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38"
"u_thr_1",41.8653707025158,332.895474097097,20.9457928287966,57391.501686358,63004.2458082964,18548.1271839377,43705.2191973048,71725.4168421988,164.391238066006,13.7565612543841,24818.6616199566,18779.6199724694,8413.86856464778,14178.1585471093,27415.1317940199,27.4167720460018,133.150184509527,13.5663581985821,14512.88712931,10697.3916182877,5924.16785280163,7938.62054992002,17436.5307292367,126.98772388745,11.9527419830063,9015.39765409957,11493.562142625,3661.80580180153,7254.8031743458,11837.3967108652,26.297157090612,199.655653491609,14.0077595859049,17916.1147374304,21468.3250852625,3020.69841751754,19752.3535357155,20920.0812564787
"l_thr_1",-15.5520849303199,-171.504421372357,-10.4588885697505,-30381.0215406396,-36310.3375461313,-8137.65772784063,-23775.8425034779,-39243.2737909303,-76.4483670009331,-6.5794802570497,-13822.0435165082,-9969.34784368463,-4225.50448961257,-7833.77748819643,-14669.0418038571,-14.5821499412835,-67.5179790452267,-6.5699282899416,-7804.37319210915,-5315.22759216678,-2502.08721961653,-4335.98589566104,-9363.33228922644,-65.5708027094574,-5.40781608940995,-4874.13212923342,-6496.03805401079,-1492.22575975748,-3955.64653783081,-6309.85805979147,-10.6017116302222,-114.4937300543,-7.10711652782581,-11355.3819455805,-13667.4150996212,-1168.56906820289,-13075.3885895271,-13292.851618946
"u_thr_2",29.4272915551002,182.011565583183,14.9954064073813,10192.386837608,12904.6383906222,3405.85199082602,10230.4274701536,13145.0420931302,138.868286875228,11.0470051304702,8328.93718797556,9341.88492663661,1857.11022642018,8156.20798000921,8638.56639711439,166.982106148782,96.6404978214366,10.0778849619952,7387.79250782622,4920.2264056281,2354.64884016641,4723.23042789209,6992.76827256792,104.458921001758,9.24760807008842,5278.77779391589,4444.21593136534,1317.05362817986,4509.42594826901,5355.4231205898,47.206148048794,112.33531566441,13.6673161147646,4313.6481357377,10618.3026358462,2497.17569232149,3892.94239766258,10820.7415925849
"l_thr_2",-11.5360271464526,-89.1218518243169,-6.47221221868726,-4720.59891412876,-7699.93392650048,-1705.05749854238,-5325.04300923155,-7326.81159156344,-72.2037356736606,-4.45088591611978,-4345.00545276913,-5525.86095591921,-785.733675095055,-4809.93498656465,-4578.51026030125,-90.4264875011784,-40.714684284325,-4.27773983812113,-4272.53318958578,-2476.64701053536,-1199.97907850193,-2521.94375238351,-3640.93215799287,-46.4264621237393,-3.19771322270849,-2628.38909713937,-2117.93309649939,-645.238306033123,-2254.70627878838,-2574.45366921168,-15.1794715696998,-50.7746495741735,-5.73849039398691,-1966.73131967316,-5886.54605128347,-1159.50539740425,-1926.105240762,-5598.49403859645
