"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36"
"u_thr_1",31.6459114253559,303.658776249038,22.9244188367492,44740.6962955329,67440.4238109177,23862.2019631895,39950.5897499765,70597.4166327169,93.2445171334263,7.65917515904133,9960.28998454841,11855.9142314676,5274.98492678683,9556.27212970286,10491.227076298,94.6046212790095,8.48894970914618,10481.2802807757,10018.4674516049,3601.15936503729,9324.20357213897,10790.503320386,151.066992247932,10.2464902846048,17186.6327497589,22127.7864575377,14854.7784084736,23205.6854186045,107.001855906147,281.649544196366,16.4729375074339,38985.0476137563,80609.8081707464,15012.1936100261,36395.1691776429,84720.7206181709
"l_thr_1",-9.11865900052989,-104.904919094983,-6.1375873104147,-18307.1500856152,-28684.3600112573,-8519.13947308147,-17012.3918172997,-29015.2758176577,-21.9866370011149,-1.82413846970257,-3135.36553145064,-3587.53253262409,-1382.42408061021,-3013.7390498559,-3249.50500977824,-26.0141121849939,-2.48594543869348,-3723.05921165612,-2922.57900102977,-967.741495091441,-3486.63987217603,-3629.69164892779,-63.6879787487559,-3.70704457268037,-8167.90983081043,-12272.5408444179,-6892.14686797648,-12581.3831017453,-30.1732760398434,-128.842320160503,-6.91626009614254,-21433.1840845569,-46557.4847581662,-6869.01401334292,-19457.1395216077,-49975.091294609
"u_thr_2",18.6723415376692,110.894160704318,9.83868039260008,7449.19572431923,8202.55244886811,2603.74988849141,7149.28271896844,8201.07711454104,79.6704044828069,8.16570357352618,4636.04348527925,5291.96600327217,1905.80716273829,4823.44910799183,5288.46481084046,59.9735016971823,6.48024545727515,3240.01380843185,3424.56447778248,1775.45708685006,2671.6354518478,3526.50424208825,50.4775518749841,5.41204468888262,2757.73505989617,2326.37791327824,2168.07084349561,2697.99787769357,50.8731330426618,58.2522986738118,8.56623476676936,2962.91801921524,5445.64468011538,2618.35749786997,2170.16074825271,6093.50823131403
"l_thr_2",-5.11343788672902,-38.2274226621204,-2.91488377554784,-2774.64486173099,-3241.39398789128,-1109.61595805496,-2683.85283473301,-3073.63671595623,-22.8409219489393,-2.17159875281168,-1577.05085015881,-1792.01869200826,-670.949776629666,-1978.77548852696,-1752.15598502107,-18.3671528651081,-1.89352484110912,-1134.12842799581,-1168.56939005574,-518.416966519429,-817.612788936491,-1070.28991769664,-15.8913963409598,-1.46628958431534,-969.142920818735,-772.207527695779,-767.717207068754,-914.65888852888,-14.8914347633404,-16.8897320978419,-2.89290484576046,-979.946021887115,-2165.53955085969,-991.869234307612,-585.520574460572,-2457.72629546149
