"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36"
"u_thr_1",29.6064744550529,192.286881979813,17.9407237897882,23585.1341092843,37003.1930418133,16554.064597603,22139.4264548471,37193.6452555668,90.7338701154758,6.75817679668917,9125.92512485555,11899.6807286394,5253.01107704931,8518.20137732578,10319.8107150133,89.3432646476481,9.01509652514086,9755.51498556227,10640.0268439396,3672.02225151935,8001.44882250987,10214.3101295044,112.291402712589,8.83759912889064,11861.9471665734,13062.5204772286,9534.60871342148,12106.7439365951,90.004566293677,174.236809243501,11.1426670439181,22618.5430982193,33375.3094043677,5813.18646967513,20477.3437381466,32596.2486091832
"l_thr_1",-8.4911990033477,-35.8310259955349,-3.05932017875323,-3882.48134442018,-4923.40057059941,-6082.0138413584,-3893.17251430215,-4474.2711801533,-14.2891066846014,-0.913183306134687,-1438.12870628082,-3082.87392228616,-1292.09227424058,-1883.54734017162,-2268.06279198197,-15.4390767095705,-1.39282285650636,-2157.33345055407,-2424.97690258408,-722.222605110334,-1822.36040678037,-1765.58170783346,-25.7658849535835,-1.80639674801731,-3025.14741737744,-3131.78278981464,-1270.49252183627,-3077.15174973054,-25.2260546252795,-22.175145216327,-1.44403224921171,-3733.07353160342,-5373.89664626426,-1393.88105798167,-3635.97127627902,-6098.68563368472
"u_thr_2",21.6186486027907,86.9334939405398,7.46807060712111,6060.12328539212,6234.48855162076,2492.98227045345,5564.67019677277,6908.12733936903,69.6388476863497,6.71579785603488,4751.52561929945,4684.20222946781,1200.32085098392,4702.02535224341,4432.49081400905,51.7373190023997,5.46498171450083,3236.81911300613,2990.8528957824,947.63632591644,2652.66823379626,3458.45277087254,46.9443633336133,4.78740085100575,2504.69460724515,2181.91379474931,2060.05042397933,2576.08874328011,50.663128316996,59.4453357583389,7.4490378424311,2727.71812198622,5431.44738215292,1745.43720926659,2140.44457076121,5781.14678594489
"l_thr_2",-4.64441692761237,-20.167654717145,-1.48470457894421,-1327.22064978831,-2377.76001105005,-715.205319531818,-1317.40638714345,-1896.02491700531,-17.1928469474193,-1.46222703935569,-1285.49213719404,-1483.90979798789,-341.338098468639,-1667.85053157778,-1122.5924750901,-13.4619948581502,-1.30649889851237,-1084.16854130366,-1021.27318440508,-154.220977649025,-886.282959552016,-1019.40446081674,-14.0656214645969,-1.09210117958204,-726.029901024586,-746.418049050429,-714.231958138401,-722.051150645503,-8.61788249917679,-16.9981327991783,-1.99144427451287,-744.976052946099,-1670.11332192688,-502.488582040565,-553.140542257541,-1594.99793913194
