"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36"
"u_thr_1",30.2140949200657,344.785392339274,26.2690800292643,48915.7076424488,77103.0897189867,28732.5070118822,42984.9864541569,88491.1935532085,126.407957747266,9.62267186395469,12716.6013516478,13681.0579989631,4312.60152609595,12412.0494039937,12746.6954574323,134.437601806997,11.5413277370204,14772.2577624802,12407.0257798743,4067.38393233306,10812.2485557518,15004.1931523026,139.193353964967,9.74982118711792,13775.9313498534,14458.7758457303,13047.816404981,14114.0695488046,111.242119138547,171.267101878244,10.9060388541531,19556.4292548092,35040.5886477604,7562.87927653025,19623.4246020673,33956.9380069536
"l_thr_1",-9.80074946242496,-98.28778221605,-6.13627216480395,-16187.8097227691,-25472.8754572537,-10077.1042015129,-13108.2969745312,-31680.7891959058,-26.6794024407141,-1.92007904583673,-3855.30369676253,-2918.97427380662,-1077.43305134513,-2917.43491448125,-2974.15536840494,-42.7311093294097,-3.7950924333607,-5110.69251713243,-4120.10721940993,-902.662336522922,-3815.05339541181,-4909.99874089446,-48.0704917823542,-3.39987257785914,-4856.47816759896,-4397.10398130524,-4924.5185966762,-4572.93632985337,-28.80983524301,-58.584548716442,-3.59948154017654,-6812.34238375575,-11950.3726352242,-2916.41902298484,-6648.81158561301,-10181.8969909786
"u_thr_2",21.9121456671329,102.390584930927,9.53276168838806,6456.8478195547,6601.12027533036,2408.40697542137,6026.71956975874,7046.53359952977,77.0886216929515,8.52530900240451,5057.62708983308,4808.59438631912,1589.44156979536,3720.44515857637,5354.89371845649,59.6580032688925,6.29711417225461,3406.3300813052,3107.38906068129,1364.85565591115,2483.01615972715,4046.69390226787,59.6413953732866,6.41904464535132,3273.05568018213,2373.18270410111,2434.8557355626,3178.8247054443,54.7206678428445,72.4490151844839,7.8625654426908,3252.22274302957,4988.15922797213,1638.59576292261,2533.81103644339,5023.77272558012
"l_thr_2",-6.05447717109158,-28.457613332808,-2.80847001198259,-2008.61126900243,-1505.16156359044,-855.721899482449,-1943.9234172103,-1817.92779087069,-24.0101488310699,-2.71199440221744,-1695.96070536444,-2053.97799872202,-555.277836044127,-1377.4125754164,-1949.40296967797,-16.5369754362988,-1.83397785645329,-1168.96825973032,-1038.65828293104,-549.124465919234,-618.838261470104,-1430.81406837777,-16.9459130176163,-1.99713697780608,-1196.96265855858,-779.169976156039,-708.850451817723,-1156.92223136843,-19.6017282114433,-19.863309083122,-2.57973311455311,-1091.35166586451,-1265.09886490635,-492.294246134509,-754.063094022701,-1394.72268527913
