"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34"
"u_thr_1",23.4102092723591,305.925487302573,28.0100815919535,48332.1651996168,66301.1601083656,38935.4524404271,73608.7479776749,83.9554758358958,7.09684889851308,9814.74755134891,12371.171113879,9318.77797252177,9611.36640862224,91.6973981186984,9.80131786011529,11472.9611391434,10393.857396258,4096.97875951234,7836.66246202335,12969.9553510385,76.4960266319918,6.99028607204734,8658.90773014143,9437.91721649501,5267.99836306113,8933.68853545889,8910.40016060464,130.980662506384,9.38637670239526,14528.0093287366,28793.9513809891,9373.90724541911,14580.1405128033,30428.3443406488
"l_thr_1",-4.67227273816305,-106.881031427965,-11.5183706539604,-21720.3850189301,-25764.6914133492,-14713.0473359754,-30172.8861526532,-26.3314446070998,-2.10077848636153,-3339.38413063295,-4749.21444063661,-3221.49605458582,-2634.38922111245,-34.1664657808197,-3.53283053886548,-4542.40997353786,-4238.90968430833,-771.259758876935,-2984.51156039962,-5436.83255797814,-23.6134157744093,-2.21871406822079,-2485.67340984663,-3656.33999849788,-1592.21754600944,-3316.90722601853,-2447.09132360144,-46.5835425434835,-3.50577389019338,-5150.65063684227,-9483.48596993092,-3663.8403720408,-4758.16425736123,-9418.104585098
"u_thr_2",20.8371906961543,134.635854003954,8.25338141173853,23321.6505498235,21850.2437704094,17072.1422112213,32431.4685597792,72.9183257775775,7.37833256398973,11406.1513144206,7244.57711121134,5586.24919643566,12854.9193847945,73.4873388155637,8.23777827600362,9492.88095745266,4736.97233165694,4882.01300231667,5322.17870858802,9772.27262417247,73.9526904635792,6.53416244960334,5656.23422163995,5291.87358561981,3109.23369612017,4344.6619231871,6211.26934847721,90.1125853886814,7.89471782974877,6616.65990207577,8156.12063672778,3614.34627961055,6290.59434815335,8507.42956803155
"l_thr_2",-4.75980930765489,-37.4559642060369,-2.62450169739625,-5702.66372866185,-7733.59899709457,-5646.70763636766,-12104.1533358404,-11.8869862413203,-1.99465125230343,-3420.32807304011,-2172.69145278869,-1395.94594008288,-4499.4794075911,-23.2767862921159,-1.88890867772346,-3795.98552290805,-1542.48181145202,-1921.48335737903,-2092.2233099489,-3043.55608903098,-31.7677996290018,-1.97790486419653,-2090.20820810907,-2232.19584227601,-987.94170588322,-1861.90387146027,-1894.27510649213,-26.8519748781001,-2.57725682967611,-1482.5336819621,-3691.45703112965,-1256.02027216052,-1932.28388818623,-3450.46986907547
