"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36"
"u_thr_1",39.130892819653,249.31635897365,23.1907347819236,30452.0379727104,47484.8414449164,22213.0842073433,28647.5761971344,47610.6243644968,116.989614315495,8.67601682239513,11766.9385826396,15645.3193913708,6889.28691487178,11118.6385567001,13466.7790917622,115.538849986953,11.6170763705527,12733.7270945914,13906.2777805705,4770.58346567677,10457.4011298324,13209.2830888388,146.805724629132,11.4985980981176,15583.7208125611,17111.0962939894,12235.8840222359,15902.7178581765,118.812221523416,223.339797858458,14.2893418672006,29206.4472556749,43062.6109170257,7614.95335158933,26505.672491753,42269.9821699002
"l_thr_1",-18.0156173679478,-92.860502989372,-8.30933117088859,-10749.3852078463,-15405.0489737026,-11741.0334510987,-10401.3222565895,-14891.2502890833,-40.5448508846207,-2.83102333184065,-4079.14216406491,-6828.51258501756,-2928.36811206305,-4483.98451954597,-5415.0311687308,-41.6346620488751,-3.99480270191816,-5135.54555958315,-5691.227839215,-1820.78381926775,-4278.31271410293,-4760.55466716792,-60.2802068701265,-4.4673957172443,-6746.92106336516,-7180.35860657546,-3971.7678306507,-6873.12567131194,-54.0337098550186,-71.2781338312841,-4.59070707249416,-10320.9776890591,-15061.1981589223,-3195.64793989587,-9664.30002988543,-15772.4191944017
"u_thr_2",28.1844149853915,113.708781104961,9.70626440363744,7906.95926918723,8387.55069228847,3295.02916794977,7285.18934275182,9109.16540346261,91.3467713447919,8.76030407988252,6260.78005842282,6226.23023633174,1585.73558834706,6294.49432319871,5821.26163628384,68.0371474675372,7.15785186775413,4317.06602658358,3993.88441582927,1223.10065180781,3537.40603213333,4577.91707879486,62.1968595331658,6.2572763586527,3312.37573431258,2913.99675569924,2753.62101950877,3400.62371676152,65.4833810210392,78.5562028977182,9.80915837166709,3595.8916657193,7206.83755817287,2307.41865709338,2813.8408490159,7625.1829672141
"l_thr_2",-11.2101833102131,-46.9429418815662,-3.72289837546054,-3174.05663358342,-4530.82215171775,-1517.25221702814,-3037.9255331225,-4097.0629810989,-38.9007706058615,-3.50673326320334,-2794.74657631742,-3025.93780485182,-726.752835831778,-3260.31950253308,-2511.36329736488,-29.7618233232877,-2.99936905176568,-2164.41545488111,-2024.30470445195,-429.685303540391,-1771.02075788909,-2138.86876873906,-29.3181176641494,-2.56197668722899,-1533.71102809202,-1478.50101000036,-1407.80255366783,-1546.58612412691,-23.43813520322,-36.1089999385577,-4.35156480374886,-1613.14959667918,-3445.50349794683,-1064.47002986735,-1226.53682051223,-3439.03412040114
