"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38"
"u_thr_1",22.2815888105951,195.052236616757,13.1093245357159,32142.5250087076,25384.3805246806,9586.78464382437,20406.1236811434,30882.1634460518,149.404054478752,12.964224915056,18340.7147076569,10935.4100187802,6405.2954596858,9808.48670304503,18797.6271992987,25.219826562257,129.813997660227,13.2994712703724,12642.3368618792,8478.56133020238,3709.97670337955,7042.71975695265,14193.6256622257,115.698571739545,11.8367173368655,7487.32045435696,7860.17277893922,2365.10235337195,5736.107021259,9239.47763257083,26.6365214953197,137.631666995697,12.5440037811669,10550.643314812,12346.0640549798,2822.47856772904,9340.68130851524,12053.7144462131
"l_thr_1",-6.36055106816132,-64.7498305866541,-3.62006071155733,-10623.6082384788,-6255.62798461513,-2501.99319148769,-7401.41181369823,-7674.76055708114,-60.5754693348965,-4.76831363575162,-7808.20030784846,-4112.55527653248,-2140.47262272609,-4514.39233713039,-7435.13844095967,-8.37884281934929,-56.2702176293397,-4.52680921841554,-5550.16351693395,-3319.47844711539,-1215.36436762951,-2764.8629896035,-6292.89524093149,-51.8670838127072,-4.98876815696459,-3259.10429336731,-3293.95552741994,-704.103896804708,-2387.86637953765,-3526.80568162995,-6.73518849505844,-47.2875688595878,-4.52598276748824,-4542.94705691011,-4014.19365086352,-918.10735007732,-3719.5402552064,-3836.60523956131
"u_thr_2",22.7752789709674,149.258024542676,13.1238942992324,9521.96830078927,11710.5901865544,2507.74649062529,8767.36534851865,12033.9801171461,110.366593541297,9.98623879361693,7871.34309411254,6531.10922926219,1897.34199975106,7250.5883594385,6925.68332639807,141.840448205371,76.5629320438472,7.55949641459676,4472.49387467549,3776.56251555565,1261.5027105066,3617.27407407465,4247.63602618435,82.9835657009873,8.82253111033211,4008.22802476063,3279.371806495,988.584062155925,3195.42148901911,3995.18270422935,52.0648219254811,119.406005547811,13.0817103682804,4244.87517277078,10483.8992169826,2154.60132997814,3709.78721111306,10902.1337088082
"l_thr_2",-6.48945899888996,-52.8224901865657,-4.5079809898968,-3135.15619435161,-5303.47224111395,-923.33242569773,-3181.53093128952,-5160.85180218488,-46.4699833797046,-4.01362113950665,-3438.16990513797,-3079.71388558138,-758.804103520756,-3442.41420924541,-3110.52366757878,-71.775146964306,-24.764518426632,-2.45164598912382,-1709.62978933136,-1412.35330298859,-355.880109122917,-1287.11458338107,-1435.04027825789,-37.7287758883329,-3.86257454482357,-1825.64284782433,-1405.87597069435,-315.68436121528,-1403.16325993667,-1744.406165302,-13.6551181168778,-61.9006259973149,-5.59630043657734,-1993.07057477732,-5477.20919542902,-896.898577500939,-1632.50442603755,-5669.23996407235
