"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34"
"u_thr_1",26.2184574734113,347.206139175627,31.9629268165449,55337.4202214714,75507.7452605371,44300.3024180673,83986.9113907077,94.9841678801954,8.01661163700054,11130.1607195471,14083.2096693305,10572.8053752325,10835.9419715957,104.28378450865,11.1347327000134,13074.4982504115,11857.1341043146,4583.80261135127,8918.77986426565,14810.6341419401,86.5069708726319,7.91118608607415,9773.36584414023,10747.3429379943,5954.01995396819,10158.7481116066,10046.1493090253,148.737083011371,10.6755917616541,16495.8753252945,32621.6951160811,10677.6820071651,16513.9709898198,34412.9892332235
"l_thr_1",-7.48052093921526,-148.161683301019,-15.4712158785518,-28725.6400407848,-34971.2765655207,-20077.8973136156,-40551.049565686,-37.3601366513994,-3.02054122484899,-4654.79729883113,-6461.25299608817,-4475.52345729658,-3858.96478408592,-46.7528521707716,-4.86624537876356,-6143.94708480599,-5702.18639236497,-1258.08361071586,-4066.62896264192,-7277.51134887979,-33.6243600150494,-3.1396140822476,-3600.13152384543,-4965.76571999717,-2278.23913691649,-4541.96680216627,-3582.84047202205,-64.3399630484702,-4.79498894945225,-7118.51663340015,-13311.2297050229,-4967.61513378679,-6691.99473437769,-13402.7494776727
"u_thr_2",23.3968906965353,151.845035824953,9.341169722652,26224.0819776721,24808.6280471598,19344.0271959802,36885.0307493412,81.3988569794673,8.31563094561904,12888.7992531667,8186.30396761135,6284.46871008751,14590.359264033,83.1637513263317,9.25044697137633,10821.7676054887,5364.91774596784,5562.36263828624,6063.61891044171,11053.8554954928,84.5247394728373,7.38536918098333,6430.87846461485,6044.28052840939,3518.95123632051,4965.31850265184,7021.82379397414,101.80904141536,8.94191529569126,7426.57926047956,9340.87840351352,4101.38293478766,7112.88217178731,9703.21951174225
"l_thr_2",-7.31950930803582,-54.665146027036,-3.71229000830973,-8605.09515651039,-10691.983273845,-7918.59262112656,-16557.7155254023,-20.3675174432101,-2.93194963393275,-4902.97601178618,-3114.41830918869,-2094.16545373473,-6234.91928682965,-32.9531988028839,-2.90157737309617,-5124.87217094412,-2170.42722576292,-2601.8329933486,-2833.66351180259,-4325.13896035133,-42.3398486382599,-2.82911159557652,-2864.85245108398,-2984.6027850656,-1397.65924608356,-2482.56045092501,-2704.82955198906,-38.5484309047783,-3.6244542956186,-2292.45304036589,-4876.21479791539,-1743.05692733763,-2754.57171182018,-4646.25981278617
