"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34"
"u_thr_1",26.3387223685606,257.963317267865,23.3854834037651,35380.8034346909,58030.7240180447,28629.0097433214,62097.8419190679,72.1966997476749,6.28257121358643,7955.39628364986,9401.32708776534,7844.29188538077,8863.20896473846,72.2821252112107,7.36916742758424,9362.62614841336,8332.83474980256,3929.49455819746,6457.35936514021,9653.01564838028,73.3741673975421,5.49947255394949,7069.78936832064,9285.54465008326,5287.11044050629,7360.3793755613,7684.18671896807,132.467607766117,9.36620630347685,17423.6763686143,29975.730507621,10246.551825727,17570.1555306454,30126.9011429597
"l_thr_1",-9.26696470792958,-105.445575542441,-9.74745333299407,-15548.6817281093,-26827.9729793743,-11958.7495543083,-29617.2462693708,-21.7519794572343,-2.09452104321617,-3036.08727471372,-2790.73258839958,-2648.62639080574,-3030.04780429959,-22.0355709290201,-2.48304851285407,-3564.71592372521,-2520.11253104588,-1473.91801949418,-1985.21640127291,-3747.5315763776,-23.0236814348109,-1.54887630080159,-1446.46171964829,-3176.82597771231,-1658.33808481486,-2092.8627294781,-2370.8775133034,-37.6172751265951,-2.57099798258602,-6169.4588696694,-9932.03854072136,-3299.33835674314,-6583.77655773848,-9895.48018561943
"u_thr_2",20.5576410923041,119.356258066762,8.37954811636117,23030.9220439277,19153.0893022081,14636.2112013898,25220.6830023535,65.0707338226454,7.2389867342389,8780.64214514763,6845.20317051897,4835.43645167277,10114.6874022933,65.4693643079972,7.41476310547791,7416.04869393616,5593.92317541829,7602.06031421296,3735.52187108312,8022.20427789008,65.7468537932735,6.51641087722414,4569.31336286521,5380.67717627096,4300.09532733447,3455.93379088524,6002.12352453563,92.128928519783,8.11016453487279,5824.3784929109,9457.52349426949,2732.31554132266,6026.10119061461,9090.91971089614
"l_thr_2",-6.40043660260701,-36.8835439222623,-3.564945732974,-8874.34032811414,-6673.97608552872,-4606.77730673934,-10021.5062796967,-19.3469229300462,-2.64244657299346,-2683.88418625688,-2775.41478511862,-1599.16231428671,-3314.50970899551,-23.4288142950802,-2.50300211149442,-2963.63777204101,-2079.20679817044,-2556.69044458976,-1473.41824842893,-2971.79436007638,-23.3764149144246,-2.17118183050199,-1583.11783803503,-2361.32668140184,-1497.63177595577,-1409.18735644471,-2249.2084050591,-29.3288132729934,-2.68096991893697,-1454.349308833,-4223.07612618839,-1005.17970674553,-1641.82534883798,-3964.39616106748
