"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36"
"u_thr_1",31.9875790462029,206.544251228273,19.2532265378221,25301.8600751408,39623.6051425891,17968.8195000381,23766.4638904189,39797.8900327993,97.2978061654806,7.23763680311566,9786.17848930157,12836.0903943223,5662.08003650493,9168.31067216937,11106.5528092005,95.8921609824743,9.66559148649381,10500.0680128195,11456.5895780973,3946.6625550587,8615.43689934052,10963.053369338,120.919983191724,9.50284887119739,12792.3905780703,14074.6644314188,10209.9275406251,13055.7374169904,97.2064801011118,186.51255639724,11.9293357497387,24265.5191375832,35797.1347825322,6263.62819015368,21984.4259265482,35014.6819993625
"l_thr_1",-10.8723035944977,-50.0883952439942,-4.37182292678707,-5599.20731027671,-7543.8126713752,-7496.76874379348,-5520.20994987398,-7078.51595738581,-20.8530427346062,-1.39264331256118,-2098.38207072685,-4019.28358796901,-1701.16123369619,-2533.65663501521,-3054.80488616918,-21.9879730443966,-2.04331781785931,-2901.88647781134,-3241.53963674181,-996.862908649689,-2436.34848361101,-2514.32494766708,-34.3944654327193,-2.47164649032406,-3955.59082887437,-4143.92674400485,-1945.81134903987,-4026.14523012589,-32.4279684327143,-34.4508923700663,-2.23070095503232,-5380.04957096733,-7795.72202442876,-1844.32277846022,-5143.05346468062,-8517.11902386397
"u_thr_2",23.2600901984409,93.6273157316451,8.02761905625019,6521.8322813409,6772.75408678769,2693.49399482753,5994.79998326753,7458.38685539243,75.0658286009602,7.22692441199679,5128.83922908029,5069.70923118379,1296.6745353247,5100.14259498224,4779.68351957775,55.8122761186841,5.88819925281415,3506.88084140049,3241.61077579411,1016.50240738928,2873.85268338053,3738.31884785312,50.7574873835014,5.15486972791749,2706.61488901201,2364.93453498679,2233.44307286169,2782.22248665046,54.3681914930068,64.2230525431837,8.0390679747401,2944.76150791949,5875.29492615791,1885.93257122329,2308.79364032488,6242.1558312622
"l_thr_2",-6.28585852326256,-26.8614765082503,-2.04425302807329,-1788.92964573709,-2916.02554621698,-915.717043905897,-1747.53617363821,-2446.28443302871,-22.6198278620299,-1.9733535953176,-1662.80574697489,-1869.41679970387,-437.691782809424,-2065.96777431661,-1469.78518065879,-17.5369519744346,-1.7297164368257,-1354.23026969803,-1272.0310644168,-223.087059121866,-1107.46740913628,-1299.27053779732,-17.878745514485,-1.45957005649378,-927.950182791445,-929.438789287913,-887.624607020759,-928.184894015854,-12.3229456751876,-21.7758495840232,-2.58147440682187,-962.019438879369,-2113.96086593187,-642.983943997262,-721.489611821213,-2056.00698444924
