"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36"
"u_thr_1",32.1431906444428,317.38440323097,28.2945219738395,52439.0772035365,72955.9930972185,25983.5329899802,45075.4933298795,77511.3647207897,102.978649625934,8.81620028788049,12129.7098717575,13268.5269900356,5330.6051138029,11121.8873128003,12256.7935393547,101.172617623389,9.37621402869093,13548.6925496249,11343.7231430629,6227.45966307727,10506.1869895998,12570.3212200412,127.729797030039,9.68740608613622,16044.1782492729,15393.9296208261,13736.0099261477,17146.9136042279,133.031499131165,221.558688650979,12.9968441744557,36564.1522043852,49951.3938047055,14039.9889562327,35796.5351748994,50876.2132521147
"l_thr_1",-13.9835324572241,-116.272351644895,-10.7408143197901,-25457.5004207951,-34027.9474388672,-12029.8694064773,-21277.6057820768,-37005.2002583868,-34.5105904910908,-3.37177279482509,-5281.83421887594,-5496.15235142393,-1881.04122178379,-4162.05916017186,-5282.37203516593,-40.7108336978228,-3.79173297744266,-6943.99679531941,-4639.52289539013,-2458.18387878252,-5249.79171952128,-6069.75338576057,-52.0261791680776,-3.69335271559256,-7724.12893033713,-7129.17638500509,-6344.76792924254,-8661.36391650197,-52.0553662725016,-94.0136663019691,-5.27413639120599,-20780.488391866,-24943.5117154005,-7240.21992502137,-20428.5630435115,-25780.1681067474
"u_thr_2",20.7901148135646,122.154120114253,11.7897205639708,8523.1840507985,8066.94683853867,2702.26952210201,7659.76917947917,8548.49232106095,97.7054859066551,9.4872888425754,6176.10754603765,6593.37427395164,2011.01515567172,5422.07610337201,6797.11297536944,87.7938024656116,9.08383743904345,5016.07819976122,4606.7492681971,1795.57816216586,3662.04918684027,5563.88479908443,71.0735676734929,7.57232480445468,3769.78348775088,3192.03211057761,3192.52471776485,3676.08084406726,61.2200080267723,75.3627539356145,9.62409348598607,3366.24974903091,6582.83699303704,2896.73514824358,3125.40273534942,6879.53090995349
"l_thr_2",-8.69098316560444,-44.3077615784058,-4.56472887148522,-3601.99385657272,-3318.81777077187,-1287.06829351644,-3066.02938412445,-3480.81234152443,-42.6507349669893,-3.81052673594091,-2734.45488552657,-3400.59185390328,-873.283056753404,-2617.39131113346,-3274.01356362959,-41.2360674570523,-3.94986477007701,-2236.35447292364,-2128.30436698164,-714.893644060245,-1766.54851471963,-2601.20400139407,-31.5240841227026,-3.14934978196223,-1651.97365917056,-1483.0466920357,-1577.248207048,-1652.97699347269,-24.4556836392457,-32.3793214926501,-4.44436307737983,-1541.2768296119,-2983.5223489097,-1367.71021964095,-1586.5914891153,-2930.41360120409
