"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36"
"u_thr_1",36.1753081393432,349.054742398374,26.1535306308785,51746.0125601049,78120.9553467149,27460.1287894419,46279.8099241183,81665.4935716474,106.047978703931,8.71287667334621,11415.3628196594,13571.8527608111,6014.69703871984,10952.9400385427,12017.975085862,108.00670277501,9.70838250335058,12059.5402243792,11456.3615018976,4108.81501616271,10747.6306215073,12392.7472058653,174.928655692008,11.7968830465253,20003.8041476,25950.0450466439,17271.1034391903,27182.02636531,122.243537233479,327.259751347129,19.0717372411646,45698.1844691244,94739.5073850701,17443.4389015115,42600.9812553374,99686.9219418131
"l_thr_1",-13.6480557145172,-150.300885244319,-9.36669910454401,-25312.4663501872,-39364.8915470545,-12117.0662993338,-23341.6119914415,-40083.3527565882,-34.7900985716195,-2.87783998400745,-4590.43836656165,-5303.47106196761,-2122.13619254321,-4410.40695869577,-4776.25301934227,-39.4161936809942,-3.70537823289789,-5301.31915525965,-4360.47305132251,-1475.39714621686,-4910.06692154437,-5231.93553440709,-87.5496421928324,-5.25743733460094,-10985.0812286515,-16094.799433524,-9308.47189869315,-16557.7240484508,-45.4149573671756,-174.452527311267,-9.51505982987326,-28146.3209399251,-60687.1839724898,-9300.25930482837,-25662.9515993022,-64941.2926182512
"u_thr_2",21.3152059181579,127.463225522811,11.2557430779498,8585.17801165814,9474.10205295249,3016.34609366323,8241.85333604638,9453.8230957074,91.060551864112,9.31429272089705,5326.38730032792,6079.07541385889,2192.11348933473,5579.25184093837,6070.75601038063,68.6780188707702,7.41066437931785,3726.02961247937,3934.91268532006,2030.33198166889,3059.32970082383,4037.25914873101,57.8518794545334,6.17630405257128,3171.83261330894,2670.66518449757,2494.26951578054,3099.40418505162,58.1803072433287,66.6014132039956,9.83947250149489,3401.01402378217,6291.33181689038,3019.49380144526,2476.34756188752,7043.64540095576
"l_thr_2",-7.75630226721772,-54.7964874806136,-4.3319464608976,-3910.62714906991,-4512.94359197566,-1522.21216322678,-3776.42345181095,-4326.3826971226,-34.2310693302444,-3.32018790018256,-2267.39466520748,-2579.12810259497,-957.256103226106,-2734.5782214735,-2534.44718456124,-27.071670038696,-2.82394376315182,-1620.14423204333,-1678.91759759331,-773.291861338261,-1205.30703791252,-1581.0448243394,-23.2657239205091,-2.230548948004,-1383.2404742315,-1116.49479891511,-1093.91587935368,-1316.06519588693,-22.1986089640073,-25.2388466280257,-4.16614258048599,-1418.04202645404,-3011.2266876347,-1393.0055378829,-891.707388095381,-3407.86346510322
