"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36"
"u_thr_1",34.3686836373529,220.801620476732,20.5657292858559,27018.5860409973,42244.0172433649,19383.5744024731,25393.5013259908,42402.1348100318,103.861742215485,7.71709680954215,10446.4318537476,13772.5000600051,6071.14899596055,9818.41996701296,11893.2949033877,102.4410573173,10.3160864478468,11244.6210400768,12273.1523122551,4221.30285859806,9229.42497617115,11711.7966091716,129.54856367086,10.1680986135041,13722.8339895672,15086.808385609,10885.2463678287,14004.7308973858,104.408393908547,198.78830355098,12.7160044555594,25912.4951769471,38218.9601606967,6714.06991063223,23491.5081149498,37433.1153895417
"l_thr_1",-13.2534081856478,-64.3457644924534,-5.68432567482091,-7315.93327613323,-10164.224772151,-8911.52364622856,-7147.24738544581,-9682.76073461832,-27.4169787846111,-1.87210331898767,-2758.63543517287,-4955.69325365186,-2110.23019315181,-3183.7659298588,-3841.54698035638,-28.5368693792228,-2.69381277921226,-3646.43950506861,-4058.10237089954,-1271.50321218904,-3050.33656044165,-3263.06818750069,-43.023045911855,-3.1368962326308,-4886.0342403713,-5156.07069819505,-2621.13017624348,-4975.13871052124,-39.6298822401491,-46.7266395238055,-3.01736966085293,-7027.02561033125,-10217.5474025933,-2294.76449893877,-6650.13565308222,-10935.5524140432
"u_thr_2",24.9015317940911,100.32113752275,8.58716750537927,6983.54127728968,7311.01962195462,2894.00571920161,6424.92976976229,8008.64637141582,80.4928095155708,7.7380509679587,5506.15283886114,5455.21623289977,1393.02821966549,5498.25983772106,5126.87622514644,59.8872332349685,6.31141679112748,3776.94256979485,3492.36865580583,1085.36848886212,3095.0371329648,4018.1849248337,54.5706114333896,5.52233860482922,2908.53517077887,2547.95527522427,2406.83572174405,2988.35623002082,58.0732546690176,69.0007693280285,8.6290981070491,3161.80489385276,6319.14247016289,2026.42793317999,2477.14270988855,6703.1648765795
"l_thr_2",-7.92730011891275,-33.5552982993556,-2.60380147720237,-2250.63864168586,-3454.2910813839,-1116.22876827998,-2177.66596013298,-2996.5439490521,-28.0468087766404,-2.48448015127951,-2040.11935675573,-2254.92380141985,-534.045467150209,-2464.08501705543,-1816.97788622749,-21.6119090907189,-2.15293397513903,-1624.29199809239,-1522.78894442852,-291.953140594708,-1328.65185872055,-1579.1366147779,-21.6918695643732,-1.82703893340551,-1129.8704645583,-1112.4595295254,-1061.01725590312,-1134.3186373862,-16.0280088511984,-26.553566368868,-3.17150453913087,-1179.06282481264,-2557.80840993685,-783.47930595396,-889.838681384885,-2517.01602976654
