"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36"
"u_thr_1",27.9910480099273,320.170215975089,24.4687826851494,45298.8455666034,71404.4249869733,26576.417500027,39868.6929303409,81814.9722893688,117.903104403489,8.98140792452183,11795.9399600695,12758.8339838092,4013.15516068256,11560.4113863006,11873.3148559969,124.594895632752,10.6893043942215,13667.6494136128,11488.8517243585,3791.27025072995,9999.62066957607,13897.8491582361,128.789806979005,9.0192826446192,12740.7974877728,13411.2269664506,12049.3533493333,13075.9025555458,103.461455006238,158.497565734095,10.1001766100237,18091.4974971112,32429.9796875946,6980.6960376683,18163.8559249739,31504.7805070685
"l_thr_1",-7.57770255228659,-73.6726058518653,-4.33597482068905,-12570.9476469236,-19774.2107252403,-7921.0146896576,-9992.00345071518,-25004.5679320661,-18.1745490969374,-1.27881510640387,-2934.64230518418,-1996.75025865274,-777.986685931741,-2065.7968967882,-2100.77476696953,-32.8884031551649,-2.94306909056175,-4006.08416826506,-3201.93316389414,-626.548654919811,-3002.42550923605,-3803.65474682796,-37.6669447963919,-2.66933403536041,-3821.34430551827,-3349.55510202548,-3926.05554102858,-3534.7693365946,-21.0291711107012,-45.8150125722928,-2.79361929604712,-5347.4106260577,-9339.76367505844,-2334.23578412289,-5189.24290851966,-7729.73949109346
"u_thr_2",20.3584443983426,95.1212405829415,8.84713770503414,5986.54453685708,6150.7712842792,2227.06648237116,5583.90607048268,6554.0635222853,71.4720233305059,7.9010143688144,4682.42776787766,4427.34036492795,1470.29049169317,3437.23084002121,4949.09945800457,55.4249488963819,5.84538683732639,3152.14684013656,2877.05309714727,1258.52342692057,2310.69091410508,3742.38790389867,55.3865449071253,5.95147899962035,3024.72132802987,2198.05199964238,2260.20539181925,2937.94987562137,50.5916458398285,67.3205527251724,7.28243774506614,3010.91305364657,4640.75600058999,1520.21298464166,2351.15136252861,4667.18964719905
"l_thr_2",-4.50077590230133,-21.1882689848227,-2.12284602862866,-1538.30798630482,-1054.81257253928,-674.381406432237,-1501.10991793424,-1325.45771362622,-18.3935504686243,-2.08769976862733,-1320.76138340902,-1672.72397733084,-436.126757941933,-1094.19825686125,-1543.60870922605,-12.3039210637881,-1.38225052152508,-914.785018561679,-808.322319397019,-442.792236928657,-446.513015848034,-1126.50807000857,-12.691062551455,-1.52957133207511,-948.628306406322,-604.039271697309,-534.200108074372,-916.047401545504,-15.4727062084273,-14.7348466238106,-1.99960541692845,-850.041976481508,-917.695637524217,-373.911467853557,-571.403420107918,-1038.13960689806
