"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38"
"u_thr_1",27.1099082511385,234.60564104515,14.7957193942214,41289.756121928,40476.3900540556,24420.5087286121,26703.9908985458,52881.1452527176,140.915330696034,12.8517314274206,21321.8148769697,13374.5324515212,11306.888634473,10044.9922073411,23306.4218906208,38.2904712117979,121.48376428446,12.7685248637816,14449.8298154518,9445.47930769195,7562.85386314068,6696.23925037776,16269.4169602155,115.442215351824,11.321284133533,8628.79537189279,8395.74707475349,3909.41673935295,6306.45126593103,10617.5070392852,51.9839875307808,158.51368862146,13.176447019443,14109.418218371,14845.5167134598,3213.95405169618,14271.9129125281,14650.0990722392
"l_thr_1",-9.63440792130948,-103.122407443113,-6.53446050976869,-18765.3542759353,-19399.6936410603,-10392.2163729295,-13239.2271295545,-23999.8537655631,-64.862761712614,-5.39021857182176,-10160.3814802879,-6764.61963016959,-5020.86655048386,-5395.54114690232,-10996.612671521,-15.0914786317113,-54.2678412532299,-5.30686821449118,-7188.41431675164,-4774.42571075052,-3423.77952833597,-3162.73948030112,-7797.44018050297,-49.3099167423813,-4.46977316700956,-4027.72322732323,-3980.378264008,-1858.52945518286,-3039.33867638687,-4744.71885842798,-16.9607634271838,-75.1775522743138,-5.91302417081515,-8120.51527258868,-7874.13044247977,-1369.3510812065,-8327.77600636143,-7540.52245585987
"u_thr_2",22.689661036076,140.559401433633,13.8818069335472,9868.91886207036,9683.79032622799,2985.16367151692,8746.12935399572,10511.4101909621,107.701473486933,11.1201533277005,6748.09200388056,6715.40147371528,1772.36462752574,5809.65693801251,6894.57705045917,127.253283441331,79.8046999263744,8.62366477867377,4462.70379092616,4384.36797685545,1443.99065308685,3714.32166428678,4906.65160490741,74.3402280266586,8.48729608407909,3912.17893632244,3330.33502307207,1097.71191180116,3100.28286862194,4107.05476502817,59.0325008801373,90.4624098444024,12.888190623066,3697.04423864069,9036.5597130617,2969.09791271823,2958.05396229288,9825.79934686255
"l_thr_2",-8.56838003348785,-54.6134265507676,-5.6819215045937,-4115.80885976885,-4503.31658725582,-1354.77163571239,-3601.46115247071,-4895.08862086943,-45.1228765633799,-4.69260012155207,-3048.07471580952,-3195.74109111642,-733.974723851905,-2485.99526744482,-3293.40463675343,-60.4095855938946,-29.5602932414835,-3.32964336887442,-2110.35294744152,-1597.00191686522,-590.347037195289,-1575.0437591549,-2259.961979347,-30.6513096494324,-3.51170464942993,-1835.70161133963,-1488.42049435648,-483.640206286077,-1303.71344740237,-1889.40901672027,-24.6468613520561,-39.9197360232545,-5.69923500543641,-1709.25438608278,-4603.01351115909,-1544.02735664902,-1355.2178143254,-5103.40175679738
