"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38"
"u_thr_1",25.1458027984707,221.032443337099,14.7822630604432,36419.1383334262,28548.3813756102,10795.6624273556,23186.8772306275,34737.8558463651,170.402006860117,14.7374787701368,20955.6062092075,12440.2065483115,7259.87226792699,11240.7746070626,21420.9037633245,28.5796935004177,148.422419189183,15.0820993192512,14461.5868997605,9658.36530793416,4202.51081048045,8023.47803160827,16242.2777525414,132.45513729477,13.5192658862485,8561.96292912939,8975.58560957514,2672.02297838961,6548.50436133866,10516.1059639909,29.9736924943576,156.123590581225,14.2510024360324,12060.0023519843,13982.0898255642,3196.53715950968,10646.7034648874,13642.7464147906
"l_thr_1",-9.22476505603696,-90.7300373069952,-5.29299923628465,-14900.2215631975,-9419.6288355447,-3710.87097501889,-10182.1653631824,-11530.4529573944,-81.5734217162614,-6.54156749083239,-10423.091809399,-5617.35180606375,-2995.04943096728,-5946.68024114793,-10058.4150049855,-11.7387097575099,-74.8786391582964,-6.30943726729434,-7369.41355481526,-4499.28242484717,-1707.89847473042,-3745.62126425912,-8341.54733124721,-68.6236493679324,-6.6713167063476,-4333.74676813974,-4409.36835805586,-1011.02452182237,-3200.26371961732,-4803.43401305003,-10.0723594940963,-65.7794924451163,-6.23298142235375,-6052.30609408233,-5650.21942144785,-1292.16594185796,-5025.56241157856,-5425.63720813875
"u_thr_2",25.7017527679532,169.4660760156,14.8870818281453,10787.6807503034,13411.9964293212,2850.85438225759,9962.25497649947,13753.4633090792,126.050251233397,11.3862247869293,9002.29439403759,7492.19154074655,2162.95661007824,8319.8886163069,7929.30402579575,163.202007722339,86.6956770908951,8.56061065496882,5090.70624107617,4295.45409741008,1423.24099246955,4107.71293982023,4815.90365662858,95.0547998599193,10.0910416758477,4591.61511201913,3747.89658421393,1119.01090449305,3655.27996391469,4569.14159118249,58.6368159297169,137.536668702323,14.9495114487661,4868.66974752559,12080.0100582238,2459.75132072604,4244.01637482812,12559.2710760963
"l_thr_2",-9.4159327958757,-73.0305416594899,-6.27116851880972,-4400.8686438657,-7004.87848388078,-1266.44031733003,-4376.42055927033,-6880.33499411798,-62.1536410718048,-5.413607132819,-4569.12120506302,-4040.79619706574,-1024.41871384794,-4511.7144661138,-4114.14436697646,-93.1367064812737,-34.8972634736799,-3.45276022949588,-2327.84215573204,-1931.24488484301,-517.618391085869,-1777.55344912665,-2003.30790870212,-49.8000100472649,-5.13108511033913,-2409.02993508283,-1874.40074841329,-446.111203552401,-1863.02173483225,-2318.36505225513,-20.2271121211137,-80.0312891518275,-7.46410151706311,-2616.86514953213,-7073.32003667018,-1202.04856824885,-2166.73358975261,-7326.37733136041
