"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34"
"u_thr_1",26.5033330198408,349.340658690369,27.2201753107477,51912.2162924987,73031.2421979864,45999.2637989039,80495.1114202458,113.32805057833,10.2955940890542,11072.946410681,11577.7180258385,9522.34366769523,12722.0682740626,81.0145969295044,9.1180566176748,8543.99307069855,10363.9505041491,4536.08192442971,6372.19388972394,8944.80245870573,106.69948599157,8.38510141217816,9520.79855615307,11470.6089937568,4287.30410659939,9209.40573287418,11554.8018768221,167.461804523038,10.4433301995062,18734.2746510096,31811.4092008865,7030.77489127629,17597.973531583,31920.9281441351
"l_thr_1",-9.20530165647603,-143.849517114031,-8.52988221041273,-23953.9704214045,-32638.8691002007,-21604.4886201873,-35121.0371220642,-37.4352833261146,-3.38306092239111,-3600.37866432179,-2904.74603916625,-4015.75459618769,-3332.50014063978,-15.4061069055259,-2.97450254039029,-3073.53417547473,-3150.6253617266,-1306.81071827789,-1568.51256585372,-2045.80485834935,-38.6615170937903,-2.8944894538562,-2691.57939669791,-3822.05606209909,-1367.45507010097,-3243.60048909606,-3796.24936108548,-48.5726357664123,-2.70744158114462,-7103.38545443421,-8619.07821326802,-2381.44932086157,-6490.07486571557,-9736.79668034435
"u_thr_2",20.3276176338866,164.606205544637,10.9028048773635,27171.3145204788,24150.9721317654,18855.7555406473,32015.624609659,83.0539318725466,7.87276875413127,12080.3701745467,6731.25829681857,6014.12328276773,11486.4927472414,80.6069272479731,9.37605170167814,9012.49065968814,4702.62054606901,3012.32893929495,4113.68085510709,8563.18834878596,89.893711640394,10.5635593780987,6564.0449499471,5340.90192227251,2203.83808333786,4967.34413396965,6756.02614310994,114.969910402966,10.5918743171117,7559.79504880106,8682.27152013564,3196.09963905338,7397.58621428115,8722.7689526876
"l_thr_2",-4.84326540911594,-64.1301590541545,-4.3814669898896,-9890.68062002955,-8774.43184308043,-6615.44739909399,-13494.8896458939,-26.2788063087235,-2.41428600860605,-3415.615432999,-2291.98267677805,-2086.44411844909,-3663.55254102656,-31.6136302343863,-3.17881437479944,-3325.09054557248,-1200.04625767738,-660.546471902542,-1558.52117252104,-2906.19392863047,-43.2482705254652,-5.00132628000517,-2799.30235224814,-2073.96893245593,-680.379213417806,-2164.21378157462,-2768.76914135425,-28.9153478971417,-2.86887891354534,-2258.97037552389,-1284.87854875911,-1116.24902559034,-2014.57686928543,-1596.94552200198
