"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34"
"u_thr_1",20.6019610713069,264.644835429519,24.0572363673621,41326.9101777621,57094.5749561941,33570.6024627868,63230.5845646421,72.9267837915963,6.17708616002562,8499.33438315072,10659.1325584274,8064.75056981101,8386.79084564877,79.1110117287466,8.46790302021721,9871.42402787527,8930.58068820138,3610.15490767341,6754.54505978105,11129.2765601368,66.4850823913517,6.06938605802052,7544.44961614262,8128.49149499572,4581.97677215408,7708.62895931115,7774.65101218403,113.224242001397,8.0971616431364,12560.1433321787,24966.2076458971,8070.13248367312,12646.3100357869,26443.6994480742
"l_thr_1",-1.86402453711084,-65.6003795549114,-7.56552542936905,-14715.1299970754,-16558.1062611778,-9348.19735833512,-19794.7227396203,-15.3027525628002,-1.18101574787407,-2023.97096243476,-3037.17588518505,-1967.46865187506,-1409.81365813898,-21.5800793908679,-2.19941569896741,-2940.87286226973,-2775.6329762517,-284.435907038007,-1902.39415815732,-3596.15376707648,-13.6024715337692,-1.29781405419398,-1371.21529584782,-2346.9142769986,-906.195955102379,-2091.84764987079,-1311.34217518083,-28.8271220384967,-2.21655883093452,-3182.78464028438,-5655.74223483892,-2360.06561029481,-2824.33378034478,-5433.45969252331
"u_thr_2",18.2774906957734,117.426672182955,7.16559310082505,20419.219121975,18891.859493659,14800.2572264624,27977.9063702173,64.4377945756877,6.44103418236041,9923.50337567451,6302.85025481134,4888.0296827838,11119.4795055559,63.8109263047957,7.22510958063091,8163.99430941659,4109.02691734605,4201.6633663471,4580.73850673433,8490.68975285213,63.3806414543211,5.68295571822335,4881.58997866505,4539.46664283023,2699.51615591984,3724.00534372237,5400.71490298027,78.4161293620032,6.84752036380628,5806.74054367198,6971.36286994204,3127.30962443344,5468.30652451939,7311.63962432085
"l_thr_2",-2.20010930727397,-20.2467823850378,-1.53671338648278,-2800.23230081332,-4775.21472034417,-3374.82265160876,-7650.5911462784,-3.40645503943056,-1.05735287067412,-1937.68013429404,-1230.96459638869,-697.726426431022,-2764.03952835254,-13.600373781348,-0.876239982350756,-2467.09887487198,-914.536397141127,-1241.13372140946,-1350.78310809521,-1761.97321771064,-21.1957506197437,-1.12669813281654,-1315.56396513417,-1479.78889948643,-578.22416568288,-1241.24729199553,-1083.7206609952,-15.155518851422,-1.53005936373362,-672.614323558316,-2506.69926434391,-768.983616983413,-1109.99606455227,-2254.67992536477
