"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34"
"u_thr_1",24.8143333728852,326.5658132391,29.9865042042492,51834.7927105441,70904.4526844513,41617.8774292472,78797.8296841913,89.4698218580456,7.55673026775681,10472.454135448,13227.1903916047,9945.79167387715,10223.654190109,97.9905913136743,10.4680252800643,12273.7296947775,11125.4957502863,4340.3906854318,8377.7211631445,13890.2947464893,81.5014987523119,7.45073607906074,9216.13678714083,10092.6300772447,5611.00915851466,9546.21832353276,9478.27473481495,139.858872758878,10.0309842320247,15511.9423270156,30707.8232485351,10025.7946262921,15547.0557513115,32420.6667869362
"l_thr_1",-6.07639683868916,-127.521357364492,-13.4947932662561,-25223.0125298574,-30367.983989435,-17395.4723247955,-35361.9678591696,-31.8457906292496,-2.56065985560526,-3997.09071473204,-5605.23371836239,-3848.5097559412,-3246.67700259918,-40.4596589757957,-4.19953795881452,-5343.17852917192,-4970.54803833665,-1014.6716847964,-3525.57026152077,-6357.17195342897,-28.6188878947294,-2.6791640752342,-3042.90246684603,-4311.05285924753,-1935.22834146296,-3929.4370140924,-3014.96589781175,-55.4617527959768,-4.15038141982281,-6134.58363512121,-11397.3578374769,-4315.7277529138,-5725.07949586946,-11410.4270313853
"u_thr_2",22.1170406963448,143.240444914454,8.79727556719526,24772.8662637478,23329.4359087846,18208.0847036008,34658.2496545602,77.1585913785224,7.84698175480439,12147.4752837936,7715.44053941134,5935.35895326158,13722.6393244138,78.3255450709477,8.74411262368997,10157.3242814707,5050.94503881239,5222.18782030145,5692.89880951487,10413.0640598326,79.2387149682083,6.95976581529333,6043.5563431274,5668.0770570146,3314.09246622034,4654.99021291947,6616.54657122567,95.9608134020204,8.41831656272002,7021.61958127767,8748.49952012065,3857.86460719911,6701.73825997033,9105.3245398869
"l_thr_2",-6.03965930784535,-46.0605551165365,-3.16839585285299,-7153.87944258612,-9212.79113546977,-6782.65012874711,-14330.9344306213,-16.1272518422652,-2.46330044311809,-4161.65204241314,-2643.55488098869,-1745.0556969088,-5367.19934721038,-28.1149925474999,-2.39524302540982,-4460.42884692609,-1856.45451860747,-2261.65817536381,-2462.94341087575,-3684.34752469116,-37.0538241336308,-2.40350822988652,-2477.53032959652,-2608.39931367081,-1192.80047598339,-2172.23216119264,-2299.5523292406,-32.7002028914392,-3.10085556264735,-1887.493361164,-4283.83591452252,-1499.53859974907,-2343.42780000321,-4048.36484093082
