"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38"
"u_thr_1",22.5168687295825,192.389634984117,12.1294469062227,33782.8673221951,32991.8795921661,20068.9180909194,21711.0886450333,43271.0203754325,115.193069144953,10.5714876775153,17386.5403323125,10857.1384413098,9265.91923635343,8114.92553806071,19018.5425703531,31.6177274813592,99.5148135922484,10.5091007289975,11745.0492989264,7667.99118038664,6189.52468920609,5463.8669090429,13261.0598176257,94.8481988400482,9.34740197096522,7046.73054699079,6848.7314074083,3188.42346503597,5138.22752314129,8697.22880207105,43.3658936610352,129.302283509488,10.7902631206607,11330.676532001,12005.5608189674,2641.04091008334,11446.9517976669,11876.2713812268
"l_thr_1",-5.04136839975348,-60.9064013820799,-3.86818802176993,-11258.4654762024,-11915.1831791708,-6040.62573523678,-8246.324876042,-14389.728888278,-39.1405001615331,-3.10997482191646,-6225.10693563069,-4247.22561995825,-2979.89715236424,-3465.47447762188,-6708.73335125325,-8.41873490127265,-32.2988905610187,-3.04744407970708,-4483.63380022621,-2996.93758344521,-2050.45035440139,-1930.36713896626,-4789.08303791316,-28.7159002306056,-2.49589100444174,-2445.65840242123,-2433.36259666281,-1137.53618086588,-1871.11493359713,-2824.44062121384,-8.34266955743822,-45.9661471623422,-3.52684027203288,-5341.77358621873,-5034.17454798732,-796.437939593663,-5502.81489150025,-4766.69476484749
"u_thr_2",18.7824059023805,116.162797935583,11.4363408787796,8120.82789684046,7910.40196204251,2442.67175811325,7202.68054068742,8585.59783948313,88.5984297306442,9.14355914654391,5523.5711639193,5476.50865311132,1459.07220860353,4772.70041233034,5621.0793395576,103.795424811928,66.1340757803922,7.12950126023024,3641.0716986302,3636.69674014037,1189.69844180158,3053.15098635657,4010.8249068756,61.2162858171472,6.98742099239047,3193.69386786468,2727.9905833935,900.042897040254,2549.7833291189,3357.49679230961,48.5725806011131,74.1646416109453,10.5647624195032,3021.25691055025,7331.6130600341,2404.95725404732,2418.89499021559,7959.64920890506
"l_thr_2",-4.66112489979237,-30.2168230527176,-3.23645544982608,-2367.71789453895,-2729.92822307034,-812.279722308728,-2058.0123391624,-2969.2762693905,-26.0198328070907,-2.7160059403955,-1823.55387584826,-1956.84827051246,-420.6823049297,-1449.03874176265,-2019.90692585186,-36.9517269644914,-15.8896690955012,-1.8354798504309,-1288.72085514556,-849.330680150135,-336.054825910021,-913.873081224689,-1364.1352813152,-17.5273674399211,-2.0118295577413,-1117.21654288187,-886.076054677908,-285.971191525173,-753.213907899333,-1139.85104400171,-14.1869410730319,-23.6219677897974,-3.37580680187361,-1033.46705799234,-2898.06685813149,-979.886697978115,-816.058842248115,-3237.25161883989
