"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34"
"u_thr_1",29.8992910762097,294.304206548896,26.698777077441,40473.7519509709,66516.5937177865,32687.7856730843,71269.3507379117,81.5915676681659,7.1202804392667,9054.54463948621,10620.5330553818,8893.58371299942,10052.5346416423,81.7138948252338,8.35438902162807,10655.3603556272,9418.1294778874,4469.83581596662,7301.61694178152,10993.0703708561,83.0139522807774,6.2043074394246,7921.41447711753,10531.7817128628,5981.6552930384,8305.70358606524,8689.69314219521,149.476096055388,10.5599267320831,19782.9898924427,33966.5074124552,11601.140843974,19985.5487394838,34129.1392758176
"l_thr_1",-12.8275334155786,-141.786464823472,-13.06074700667,-20641.6302443893,-35313.8426791162,-16017.5254840713,-38788.7550882147,-31.1468473777253,-2.93223026889643,-4135.23563055008,-4009.93855601607,-3697.91821842439,-4219.3734812034,-31.4673405430432,-3.4682701068979,-4857.45013093907,-3605.40725913072,-2014.25927726334,-2829.47397791423,-5087.58629885339,-32.6634663180461,-2.2537111862767,-2298.08682844518,-4423.06304049186,-2352.88293734698,-3038.18693998205,-3376.38393653055,-54.6257634158663,-3.76471841119231,-8528.77239349777,-13922.8154455556,-4653.92737499015,-8999.16976657687,-13897.7183184773
"u_thr_2",23.2534488617952,134.980238265665,9.57399750129468,26221.4482811318,21735.7958409818,16560.5100522027,28744.9019305585,73.5124994979146,8.22713006496213,9927.09477828808,7807.26496608273,5478.89632826872,11457.6071134222,74.359182168305,8.40653962717514,8454.01734053388,6361.23617277716,8617.93539009324,4256.41588303433,9121.60414168673,74.6591806640433,7.38517014799675,5184.55648295524,6154.87756203824,4879.8680376635,3942.44590561823,6827.2567174951,104.274702699061,9.18927798025376,6552.25127308529,10825.5834563153,3106.06506612948,6792.89384455986,10396.4512980925
"l_thr_2",-9.09624437209812,-52.5075241211648,-4.75939511790751,-12064.8665653183,-9256.68262430241,-6531.07615755226,-13545.7252079017,-27.7886886053153,-3.63058990371669,-3830.33681939733,-3737.47658068238,-2242.62219088266,-4657.42942012439,-32.318632155388,-3.49477863319165,-4001.60641863872,-2846.51979552931,-3572.56552047003,-1994.31226038014,-4071.19422387303,-32.2887417851944,-3.0399411012746,-2198.36095812506,-3135.52706716913,-2077.4044862848,-1895.6994711777,-3074.34159801858,-41.474587452271,-3.76008336431795,-2182.22208900739,-5591.13608823418,-1378.92923155235,-2408.61800278324,-5269.92774826384
