"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36"
"u_thr_1",36.749788228503,235.058989725191,21.8782320338897,28735.3120068539,44864.4293441407,20798.3293049082,27020.5387615626,45006.3795872643,110.42567826549,8.19655681596864,11106.6852181936,14708.909725688,6480.21795541616,10468.5292618565,12680.036997575,108.989953652127,10.9665814091997,11989.1740673341,13089.7150464128,4495.94316213741,9843.41305300179,12460.5398490052,138.177144149996,10.8333483558109,14653.2774010642,16098.9523397992,11560.5651950323,14953.7243777811,111.610307715981,211.064050704719,13.50267316138,27559.471216311,40640.7855388612,7164.51163111078,24998.5903033514,39851.548779721
"l_thr_1",-15.6345127767978,-78.6031337409127,-6.99682842285475,-9032.65924198976,-12784.6368729268,-10326.2785486637,-8774.28482101764,-12287.0055118508,-33.9809148346159,-2.35156332541416,-3418.88879961889,-5892.10291933471,-2519.29915260743,-3833.87522470238,-4628.28907454359,-35.085765714049,-3.34430774056521,-4390.99253232588,-4874.66510505727,-1546.1435157284,-3664.32463727229,-4011.8114273343,-51.6516263909908,-3.80214597493755,-5816.47765186823,-6168.21465238526,-3296.44900344709,-5924.13219091659,-46.8317960475838,-59.0023866775448,-3.80403836667355,-8674.00164969517,-12639.3727807578,-2745.20621941732,-8157.21784148383,-13353.9858042225
"u_thr_2",26.5429733897413,107.014959313856,9.14671595450836,7445.25027323845,7849.28515712154,3094.51744357569,6855.05955625706,8558.90588743922,85.9197904301813,8.24917752392061,5883.46644864198,5840.72323461576,1489.38190400627,5896.37708045989,5474.06893071514,63.9621903512529,6.73463432944081,4047.00429818922,3743.12653581755,1154.23457033496,3316.22158254907,4298.05100181428,58.3837354832777,5.88980748174096,3110.45545254573,2730.97601546176,2580.22837062641,3194.48997339117,61.7783178450283,73.7784861128734,9.21912823935809,3378.84827978603,6762.99001416788,2166.92329513669,2645.49177945223,7164.1739218968
"l_thr_2",-9.56874171456294,-40.2491200904609,-3.16334992633146,-2712.34763763464,-3992.55661655083,-1316.74049265406,-2607.79574662774,-3546.8034650755,-33.473789691251,-2.99560670724143,-2417.43296653657,-2640.43080313584,-630.399151490993,-2862.20225979426,-2164.17059179619,-25.6868662070033,-2.57615151345235,-1894.35372648675,-1773.54682444023,-360.819222067549,-1549.83630830482,-1859.00269175848,-25.5049936142613,-2.19450781031725,-1331.79074632516,-1295.48026976288,-1234.40990478548,-1340.45238075656,-19.7330720272092,-31.3312831537128,-3.76153467143986,-1396.10621074591,-3001.65595394184,-923.974667910657,-1058.18775094856,-2978.02507508384
