"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36"
"u_thr_1",30.22124384854,299.315371777809,26.6680496282716,49193.3864691894,68498.3289082149,24399.6412234611,42310.7808668813,72739.8411799907,97.2499312877247,8.30836807610109,11404.2288679811,12486.6653508082,5030.11984982012,10485.0562097598,11525.9949737497,95.2608071516722,8.82754957010203,12694.8304935855,10677.7545581274,5865.55784883311,9849.68787671978,11793.6514447994,120.23996468845,9.12987446939752,15053.8321167891,14455.4668705831,12899.3108488398,16071.5687075309,125.319546406012,208.409840527939,12.2355533175532,34174.7921795414,46830.7727413677,13153.3135861805,33453.8227491323,47682.1973621621
"l_thr_1",-12.0615856613213,-98.2033201917338,-9.11434197422215,-22211.8096864479,-29570.2832498637,-10445.9776399582,-18512.8933190786,-32233.6767175877,-28.7818721528814,-2.86394058304569,-4556.35321509955,-4714.29071219644,-1580.55595780101,-3525.22805713136,-4551.57346956091,-34.7990232261056,-3.24306851885376,-6090.13473928007,-3973.55431045459,-2096.28206453836,-4593.29260664123,-5293.08361051883,-44.5363468264894,-3.13582109885387,-6733.78279785338,-6190.71363476212,-5508.06885193461,-7586.01901980489,-44.3434135473488,-80.8648181789296,-4.51284553430342,-18391.1283670222,-21822.8906520627,-6353.54455496912,-18085.8506177443,-22586.1522167948
"u_thr_2",19.5617357310992,115.218208377059,11.1082851708268,8017.96830465803,7592.5399798174,2536.04711311791,7212.86090599568,8047.27129345323,91.8573100369199,8.93321319347055,5804.83411138914,6176.95901862435,1890.83606348734,5087.09829443428,6377.48270291115,82.4175578855007,8.54076651366343,4713.89350506602,4326.12203339798,1690.97517023977,3435.85761594194,5223.67276573116,66.798665515318,7.12558836335397,3543.87693996248,2997.23716046872,2993.78417923098,3454.03676750309,57.6501875406882,70.8735007927701,9.03790779584582,3161.76947492079,6184.23868712259,2719.04992458172,2929.06964266339,6470.7832219886
"l_thr_2",-7.46260408313906,-37.3718498412117,-3.88329347834122,-3096.77811043226,-2844.4109120506,-1120.84588453234,-2619.12111064097,-2979.5913139167,-36.8025590972541,-3.25645108683607,-2363.18145087806,-2984.17659857599,-753.103964569024,-2282.41350219573,-2854.38329117129,-35.8598228769413,-3.40679384469699,-1934.16977822844,-1847.67713218252,-610.290652134157,-1540.3569438213,-2260.9919680408,-27.2491819645278,-2.70261334086153,-1426.06711138216,-1288.25174192681,-1378.50766851413,-1430.93291690852,-20.8858631531616,-27.8900683498057,-3.85817738723958,-1336.79655550178,-2584.92404299525,-1190.02499597909,-1390.25839642927,-2521.66591323919
