"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36"
"u_thr_1",24.4554034608317,245.108277418325,21.7886325915679,39456.3142661479,55125.3363412042,19647.9659239039,34016.6434778868,58425.2705575936,80.0637762730966,6.78487144076289,9227.78585665193,10141.0804331257,4128.66405787178,8574.56290063826,9333.59927693459,77.5253757365207,7.18155619433533,10133.2443254675,8679.84880332074,4779.85240610064,7880.19053807964,9463.6421190742,97.7704676636859,7.45727961918142,12082.7937193379,11640.0786198542,10389.213616916,12845.5340174396,102.183688230554,168.963296158821,9.95168074684546,27006.71210501,37468.9095513545,10493.2874760237,26425.685471831,38100.1496923044
"l_thr_1",-6.29574527361293,-43.9962258322508,-4.23492493751845,-12474.7374834065,-16197.290682853,-5694.30234040102,-10218.7559300841,-17919.1060951907,-11.5957171382533,-1.34044394770749,-2379.91020377037,-2368.705794514,-679.100165852674,-1614.73474800984,-2359.17777274583,-17.0635918109541,-1.59707514308706,-3528.54857116204,-1975.64855564796,-1010.57662180589,-2623.79526800109,-2963.07428479361,-22.0668498017249,-1.46322624863777,-3762.74440040213,-3375.32538403323,-2997.97162001083,-4359.98432971365,-21.2075553718905,-41.4182738098111,-2.2289729635957,-11223.0482924908,-12461.0274620495,-3693.51844481236,-11057.713340443,-13004.104546937
"u_thr_2",15.8765984837031,94.4104731654766,9.06397899139478,6502.32106623663,6169.31940365358,2037.3798861656,5872.13608554523,6543.60821063005,74.3127824277144,7.27098624615601,4691.01380744362,4927.71325264249,1530.2987869342,4082.1648676211,5118.59188553627,66.2888241451677,6.91155373752338,3807.33942098041,3484.24032900064,1377.16619446151,2757.28290324695,4203.03666567134,53.9739590407936,5.78537904005186,2866.1572965973,2412.85231014206,2397.56256362938,2787.9045378106,46.940726082436,57.4057413642371,7.27935072542508,2548.32865259044,4988.44376937925,2185.99425359616,2340.0703646053,5244.5401580939
"l_thr_2",-3.77746683574293,-16.5641146296293,-1.83898729890922,-1581.13087201085,-1421.19033588678,-622.178657580033,-1278.39629019052,-1475.92823109353,-19.2580314880486,-1.59422413952153,-1249.36114693254,-1734.93083259413,-392.566688015884,-1277.48007538255,-1595.49247379641,-19.7310891366083,-1.77758106855693,-1027.61569414283,-1005.79542778518,-296.481676355894,-861.782231126316,-1240.35586798098,-14.4244754900034,-1.36240401755942,-748.347468016984,-703.866891600146,-782.286052912524,-764.80068721603,-10.1764016949094,-14.4223089212726,-2.09962031681885,-723.355733171432,-1389.12912525191,-656.969324993525,-801.259118371179,-1295.42284934449
