"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38"
"u_thr_1",35.8479457502335,199.653547851348,13.4496291550304,34156.6156363544,27950.3944307846,22452.8597578599,20295.8237087136,41204.9252599653,121.078248231783,11.04399798094,17214.4003116593,9421.18804865931,10652.389638976,7795.8742508593,17905.8622683961,40.3644436185665,103.897993610372,11.9781460342237,11706.8187022867,6661.90584302529,7636.19468654339,5249.97814206385,13187.6857796809,98.4592207043085,10.1286812176452,7433.10893346343,6228.63965750836,4164.39103681004,5150.4139952986,8598.07344994894,58.453163200173,135.215054126871,11.9706895585022,10049.3865193157,10755.5503002424,3334.87287224804,9586.81964122962,10562.9844780001
"l_thr_1",-13.7342442942311,-71.9719461330563,-5.38447732162959,-13117.4041471588,-9893.03285394094,-9095.62166428501,-7345.76640669601,-15797.5991222886,-43.1287558859338,-3.76373816096072,-7025.42072190553,-3789.84604770396,-4158.9713963973,-3162.47769445283,-7335.33070430159,-14.8401411919702,-38.0034488637275,-4.37863675514147,-4885.15267319372,-2537.12193582959,-2751.04385897569,-1927.55139295206,-5572.32835824837,-36.0961566385846,-3.67138884136142,-3195.94305846312,-2290.08775424462,-1584.35410471996,-2354.76952093974,-3140.02959508422,-22.512821555498,-50.2691140870216,-4.56405299793663,-4280.40103370631,-3966.09059345347,-1563.67346669739,-3990.03422636315,-4027.88030468656
"u_thr_2",22.3379796240833,123.843335287553,11.9626515624298,8597.24260358413,8581.12643390743,3095.41144050311,7553.89790690507,9411.33627956659,100.235479547387,10.5476428590513,5720.84920084762,6179.44412960225,1875.52940928292,5183.27980504243,6402.21681944519,134.599103208432,81.8486976403314,8.68258767712628,3929.77361844994,4649.56681814943,1661.43571704465,3648.01934836879,4411.97562243261,70.0672981616082,7.67585742094864,3375.78802265945,3039.34610427517,1259.47100802037,2951.12453773162,3531.11133646839,63.81642640202,78.0793285213698,9.89230085924212,3292.06693310146,6771.39063675909,2642.29975247869,2576.26494898056,7424.41377665142
"l_thr_2",-7.32004531947209,-41.0842630517228,-4.00274523188055,-3356.27393005669,-3395.56221002708,-1545.349089008,-2787.00657416943,-3890.59703661243,-40.1858548215203,-4.07735053090807,-2389.08474521904,-2741.96008304522,-832.64490263967,-2170.09973878266,-2895.48992307834,-64.2059092050742,-32.4387704495829,-3.54112971400171,-1653.84483474034,-2039.95811362793,-731.439076923718,-1483.01195198508,-1810.56497462699,-28.2901125045777,-2.86618118374022,-1332.73780860136,-1361.54874866538,-623.60674157536,-1287.58588797181,-1447.94517674831,-28.1960311140296,-31.2777705577754,-3.29734348460648,-1453.69456752927,-2847.3359605083,-1238.28865129401,-1054.40795972598,-3125.8915988367
