"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34"
"u_thr_1",20.7754961212854,277.627744064063,22.7864647781312,33718.1083290051,62899.1640673696,32597.7097905234,65693.5891135814,75.8491525322195,6.62298510866752,7546.00722906633,9505.8102165273,6596.69024719963,8866.27524099408,76.7324332600666,6.35420457042745,7533.72018173988,9307.63752480475,3689.01267641084,7418.2380901051,8148.43943283138,83.2462492456085,5.72742513897431,7494.59958791617,8169.06909376706,4740.22625826887,7489.64326706064,7890.91119994655,111.902194364309,8.12025787067177,12802.0850246068,28106.5906807692,10733.6050625196,12116.4154097112,27377.2048326988
"l_thr_1",-3.71616164787476,-78.598742462822,-5.28313045328195,-8454.19923293107,-22248.1132122379,-8872.36593268558,-24073.3628191615,-14.7840603741096,-1.41601363534887,-1547.24481498276,-1611.03630396825,-1479.08682385685,-1650.30528250883,-19.7157340989477,-1.37126830588715,-2034.1551827344,-2360.1516711107,-856.833341441027,-2395.94186658855,-1784.56031974403,-30.2327708994013,-1.73604402957563,-2376.88390787903,-2199.08364858579,-1291.15131054462,-2731.84027150798,-1858.4046994512,-18.2760167876559,-1.49676114220899,-3010.78086367327,-6836.88283837566,-3003.99793135034,-2058.76675202836,-6814.40280658517
"u_thr_2",16.5581403235292,93.6711932992182,6.27277258416662,17584.6687990382,15285.4545837178,11555.9457366733,20127.6033497476,62.5148283988014,5.83826570811996,9589.24290327606,7071.23129611179,4200.01147403276,10699.6326673537,67.8046810050974,6.64383786990064,7895.53455791857,6049.38780410858,6331.93420190507,4326.38002961768,8253.42249144194,76.3204220603421,7.62058580439466,6176.70390976918,5885.44400765871,3718.62137369648,5993.05234040633,6352.77832898032,75.2614293892559,6.38399091076016,5318.12759454506,6960.76600225729,2392.55473656039,5439.41122203698,6647.1936024569
"l_thr_2",-3.53794582503128,-16.264123176129,-1.47161166574393,-3617.26184816881,-2899.46532750118,-2083.98409038523,-5204.05089870546,-13.4279776133961,-1.21142313799947,-2699.99765852076,-2690.88051626772,-820.086030598731,-2974.69249955209,-20.3678795271543,-1.46540200886988,-2471.06761086171,-2697.90100756002,-1979.65381627916,-1371.1687027644,-2496.03302807428,-29.0836312875401,-3.01271378589962,-2311.68705538371,-2775.49314578113,-1175.91491068084,-2982.70544826911,-2463.19526989985,-13.2473467716116,-1.17233428867614,-836.989161481208,-2109.57165784631,-569.291267608711,-971.520876678317,-1779.45864464883
