"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34"
"u_thr_1",30.0741964874725,398.659676270809,30.7951810628638,59498.834963889,83598.2533278051,52759.639040813,92056.7262744768,128.404383968775,11.6634595901988,12540.2789181813,13025.964432339,10876.1534940835,14327.5251155328,90.6566673130074,10.3273125334813,9705.74579531588,11715.4080907367,5120.37118870047,7166.2645352817,10043.8631904112,121.235586300107,9.5130604987816,10742.0363514382,12999.8754993424,4852.78002426943,10454.7063550712,13089.9070006128,189.065248551983,11.7584073775713,21318.040661554,35854.457942302,7971.99731249007,20006.7783713129,36086.7006265831
"l_thr_1",-12.7761651241077,-193.168534694471,-12.1048879625288,-31540.5890927948,-43205.8802300194,-28364.8638620964,-46682.6519762952,-52.5116167165591,-4.75092642353564,-5067.71117182207,-4352.99244566672,-5369.56442257598,-4937.95698211002,-25.048177289029,-4.18375845619679,-4235.28690009206,-4502.08294831417,-1891.09998254865,-2362.58321141149,-3144.86559005485,-53.1976174023263,-4.02244854045963,-3912.81719198301,-5351.32256768468,-1932.93098777101,-4488.90111129308,-5331.35448487623,-70.1760797953573,-4.02251875920971,-9687.1514649786,-12662.1269546835,-3322.67174207536,-8898.87970544543,-13902.5691627923
"u_thr_2",22.8447059381868,187.479842004516,12.4312320640888,30877.5140345296,27443.51252925,21402.8758346214,36566.6760352143,93.9872056906736,8.901474230405,13629.9687353012,7633.58239417823,6824.18002288941,13001.4972760682,91.828982996209,10.6315383093259,10246.2487802142,5292.88722644365,3379.6164804147,4680.9010578699,9710.12657652761,103.20790985698,12.1200479439091,7500.37968016662,6082.38900774535,2492.25981301343,5680.49992552408,7708.50567155636,129.358436232977,11.9379496401774,8541.67159123355,9678.98652702511,3627.33450551776,8338.8025226378,9754.74040015656
"l_thr_2",-7.36035371341619,-87.0037955140336,-5.90989417661491,-13596.8801340804,-12066.972240565,-9162.56769306812,-18045.9410714492,-37.2120801268505,-3.44299148487979,-4965.21399375357,-3194.30677413771,-2896.50085857077,-5178.55706985336,-42.8356859826222,-4.4343009824472,-4558.84866609854,-1790.31293805202,-1027.83401302229,-2125.74137528385,-4053.13215637212,-56.5624687420511,-6.55781484581556,-3735.63708246766,-2815.45601792877,-968.800943093373,-2877.36957312905,-3721.24866980067,-43.3038737271525,-4.21495423661105,-3240.84691795639,-2281.59355564859,-1547.48389205471,-2955.79317764209,-2628.91696947093
