"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38"
"u_thr_1",20.8494818166573,182.062133256587,12.2728552733522,30004.2183463483,23802.3800992159,8982.34575205877,19015.7469064013,28954.3172458952,138.90507828807,12.0775979875156,17033.2689568817,10183.0117540146,5978.00705556521,9092.34275103626,17485.9889172857,23.5398930931767,120.509786895748,12.408157245933,11732.7118429385,7888.65934133649,3463.70964982909,6552.34061962484,13169.2996170678,107.320288961932,10.995443062174,6949.99921697074,7302.46636362126,2211.64204086311,5329.90835121916,8601.16346686079,24.9679359958008,128.385705202932,11.6905044537341,9795.96379622593,11528.0511696877,2635.44927183872,8687.67023032916,11259.1984619244
"l_thr_1",-4.9284440742235,-51.7597272264835,-2.78359144919367,-8485.30157611949,-4673.62755915034,-1897.55429972208,-6011.03503895614,-5746.91435692449,-50.0764931442141,-3.88168670821124,-6500.75455707319,-3360.15701176685,-1713.1842186055,-3798.24838512162,-6123.50015894675,-6.69890935026897,-46.9660068648614,-3.63549519397615,-4640.53849799329,-2729.5764582495,-969.097314079062,-2274.4838522757,-5268.56919577363,-43.4888010350946,-4.14749388227308,-2721.7830559811,-2736.24911210198,-550.643584295875,-1981.66770949782,-2888.49151591992,-5.06660299553953,-38.0416070668236,-3.67248344005548,-3788.267538324,-3196.18076557135,-731.078054187002,-3066.52917702032,-3042.08925527259
"u_thr_2",21.3120420724745,139.153998806214,12.2423005347759,8889.11207603222,10859.887065171,2336.19254480914,8169.92053452825,11174.2385211796,102.524764695247,9.28624579696075,7305.86744415002,6050.56807352001,1764.53469458747,6715.93823100431,6423.87297669923,131.159668446887,71.4965595203232,7.05893929441073,4163.38769147514,3517.11672462844,1180.63356952512,3372.05464120187,3963.50221096224,76.9479486215213,8.18827582757433,3716.53448113138,3045.10941763553,923.370640987365,2965.49225157132,3708.20326075279,48.7788249233631,110.340673970555,12.1478098280375,3932.97788539338,9685.84379636203,2002.02633460418,3442.67262925553,10073.5650251642
"l_thr_2",-5.02622210039709,-42.7184644501036,-3.62638722544034,-2502.29996959457,-4452.76911973053,-751.778479881579,-2584.08611729911,-4301.11020621833,-38.6281545336546,-3.31362814285047,-2872.69425517544,-2599.17272983921,-625.996798357165,-2907.76408081122,-2608.71331787993,-61.0943672058222,-19.698145903108,-1.95108886893779,-1400.52360613101,-1152.90751206137,-275.010968141441,-1041.89515050829,-1150.90646303578,-31.6931588088669,-3.22831926206578,-1533.94930419508,-1171.61358183488,-250.47094004672,-1173.23402248888,-1457.42672182543,-10.3691211147598,-52.8352944200586,-4.66239989633446,-1681.17328739991,-4679.15377480844,-744.323582126985,-1365.38984418002,-4840.67128042832
