"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34"
"u_thr_1",24.5584380147361,239.79287262735,21.7288365669271,32834.3291765509,53787.7891681737,26599.6217784399,57512.0875096459,67.4992657874295,5.8637166007463,7405.82210573168,8791.72410395709,7319.64597157144,8268.54612628656,67.5662404041992,6.87655663056233,8716.25904480643,7790.18738576014,3659.32392931288,6035.23057681955,8982.98828714239,68.5542749559245,5.14705511121194,6643.97681392219,8662.42611869348,4939.83801424023,6887.71727030933,7181.43350735449,123.963363621482,8.76934608917371,16244.0196067001,27980.3420552038,9569.25731660348,16362.4589262262,28125.7820765307
"l_thr_1",-7.48668035410507,-87.2751309019261,-8.09080649615611,-13002.2074699693,-22585.0381295033,-9929.36158942686,-25031.4918599489,-17.0545454969889,-1.67566643037604,-2486.51309679554,-2181.12960459133,-2123.98047699641,-2435.38496584769,-17.3196861220086,-1.99043771583216,-2918.34882011828,-1977.46516700345,-1203.7473906096,-1563.08761295226,-3077.5042151397,-18.2037889931932,-1.19645885806404,-1020.64916524984,-2553.70744632253,-1311.0656585488,-1620.20062422613,-1868.12430168983,-29.1130309819594,-1.97413776828288,-4989.80210775522,-7936.65008830424,-2622.04384761963,-5376.07995331929,-7894.36111919048
"u_thr_2",19.2097372075585,111.544267967311,7.78232342389441,21435.6589253256,17861.7360328213,13674.0617759834,23458.5735382509,60.8498509850108,6.74491506887728,8207.4158285774,6364.1722727371,4513.7065133748,9443.22754672885,61.0244553778434,6.91887484462929,6897.0643706373,5210.26667673885,7094.12277627283,3475.07486510752,7472.50434599176,61.2906903578886,6.08203124183783,4261.6918028202,4993.57698338732,4010.20897216996,3212.67773351874,5589.55692805589,86.0560414301441,7.5706078121823,5460.44210282371,8773.4935132466,2545.44077891925,5642.70486364198,8438.15391729796
"l_thr_2",-5.05253271786145,-29.0715538228111,-2.96772104050724,-7279.07720951205,-5382.62281614188,-3644.62788133288,-8259.39681559419,-15.1260400924116,-2.14837490763184,-2110.65786968665,-2294.38388733674,-1277.43237598874,-2643.04985343107,-18.9839053649264,-2.0071138506458,-2444.65344874215,-1695.550299491,-2048.75290664962,-1212.97124245333,-2422.09442817806,-18.9202514790397,-1.73680219511568,-1275.49627799002,-1974.2264885182,-1207.74542079126,-1165.93129907821,-1836.64180857937,-23.2559261833546,-2.14141319624648,-1090.4129187458,-3539.04614516549,-818.304944342122,-1258.42902186535,-3311.63036746929
