"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34"
"u_thr_1",28.2887647536567,374.000167480589,29.0076781868057,55705.5256281938,78314.7477628958,49379.4514198585,86275.9188473613,120.866217273553,10.9795268396265,11806.6126644312,12301.8412290887,10199.2485808894,13524.7966947977,85.8356321212559,9.72268457557805,9124.86943300722,11039.6792974429,4828.22655656509,6769.22921250282,9494.33282455849,113.967536145839,8.94908095547988,10131.4174537956,12235.2422465496,4570.04206543441,9832.05604397269,12322.3544387174,178.263526537511,11.1008687885388,20026.1576562818,33832.9335715942,7501.38610188318,18802.375951448,34003.8143853591
"l_thr_1",-10.9907333902919,-168.509025904251,-10.3173850864708,-27747.2797570997,-37922.3746651101,-24984.6762411418,-40901.8445491797,-44.9734500213369,-4.06699367296337,-4334.04491807193,-3628.86924241648,-4692.65950938184,-4135.2285613749,-20.2271420972774,-3.57913049829354,-3654.41053778339,-3826.35415502038,-1598.95535041327,-1965.5478886326,-2595.3352242021,-45.9295672480583,-3.45846899715791,-3302.19829434046,-4586.68931489188,-1650.19302893599,-3866.25080019457,-4563.80192298085,-59.3743577808848,-3.36498017017716,-8395.26845970641,-10640.6025839757,-2852.06053146846,-7694.4772855805,-11819.6829215683
"u_thr_2",21.5861617860367,176.043023774577,11.6670184707262,29024.4142775042,25797.2423305077,20129.3156876343,34291.1503224366,88.5205687816101,8.38712149226813,12855.169454924,7182.4203454984,6419.15165282857,12243.9950116548,86.2179551220911,10.003795005502,9629.36971995117,4997.75388625633,3195.97270985483,4397.2909564885,9136.65746265679,96.5508107486869,11.3418036610039,7032.21231505686,5711.64546500893,2348.04894817564,5323.92202974687,7232.26590733315,122.164173317971,11.2649119786446,8050.73332001731,9180.62902358037,3411.71707228557,7868.19436845948,9238.75467642208
"l_thr_2",-6.10180956126606,-75.5669772840941,-5.14568058325226,-11743.780377055,-10420.7020418227,-7889.00754608106,-15770.4153586716,-31.745443217787,-2.92863874674292,-4190.41471337629,-2743.14472545788,-2491.47248850993,-4421.05480543996,-37.2246581085043,-3.80655767862332,-3941.96960583551,-1495.1795978647,-844.190242462417,-1842.13127390245,-3479.66304250129,-49.9053696337582,-5.77957056291037,-3267.4697173579,-2444.71247519235,-824.590078255589,-2520.79167735183,-3245.00890557746,-36.1096108121471,-3.5419165750782,-2749.90864674014,-1783.23605220385,-1331.86645882253,-2485.18502346376,-2112.93124573645
