"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38"
"u_thr_1",24.0478819034345,206.461637004461,13.0182044022223,36285.1635887728,35486.7164127959,21519.4483034837,23375.3893962041,46474.3953345275,123.767156328646,11.3315689274838,18698.2985138649,11696.2697780469,9946.24236905996,8758.28109448752,20447.835677109,33.8419753915055,106.837797156319,11.2622421072589,12646.6428044349,8260.48722282175,6647.30108051762,5874.65768948786,14263.8455318223,101.71287101064,10.0053626918212,7574.08548862479,7364.40329652336,3428.75455647496,5527.63543740454,9337.3215478091,46.2385916176171,139.039418546812,11.5856577535881,12256.923760791,12952.2127837982,2832.01195728762,12388.6055026206,12800.8806115643
"l_thr_1",-6.57238157360547,-74.9784034024241,-4.75694551776951,-13760.76174278,-14410.0199998006,-7491.15594780102,-9910.62562721284,-17593.1038473731,-47.7145873452267,-3.87005607188489,-7536.86511718309,-5086.35695669536,-3660.22028507078,-4108.83003404869,-8138.02645800916,-10.6429828114189,-39.6218741250891,-3.80058545796844,-5385.22730573469,-3589.43362588031,-2508.22674571292,-2341.15791941121,-5791.86875210977,-35.5805724011975,-3.15385172529768,-2973.01334405523,-2949.03448577787,-1377.86727230487,-2260.52284786038,-3464.53336695189,-11.2153675140201,-55.703282199666,-4.32223490496031,-6268.02081500871,-5980.82651281814,-987.408986797941,-6444.46859645397,-5691.30399518495
"u_thr_2",20.084824280279,124.294999101599,12.2514962303688,8703.52488525042,8501.531416771,2623.50239591448,7717.16347845685,9227.53528997611,94.9661109827406,9.8024238735961,5931.74477723972,5889.47292664598,1563.50301491094,5118.35258755773,6045.57857652479,111.614711021729,70.6909504957196,7.62755576637808,3914.94906272885,3885.92048571206,1274.46251223001,3273.54121233331,4309.43380621954,65.5909332203177,7.48737935628668,3433.18889068394,2928.77206328636,965.932568627222,2733.28317561992,3607.34944988246,52.0592206941212,79.5972310220977,11.3392384873575,3246.51935324706,7899.9286110433,2593.00414027096,2598.61464757469,8581.69925489089
"l_thr_2",-5.96354327769087,-38.3490242187343,-4.05161080141529,-2950.41488294892,-3321.05767779883,-993.110360109949,-2572.49527693184,-3611.21371988347,-32.3875140591871,-3.37487066744769,-2231.72748916868,-2369.81254404711,-525.113111237101,-1794.69091699004,-2444.40616281905,-44.7710131742924,-20.4465438108286,-2.33353435657874,-1562.59821924422,-1098.55442572183,-420.818896338444,-1134.26330720143,-1662.74418065914,-21.9020148430915,-2.51178792163751,-1356.71156570112,-1086.85753457076,-351.860863112141,-936.713754400346,-1389.70370157457,-17.67358116604,-29.0545572009497,-4.15028286972788,-1258.72950068915,-3466.38240914069,-1167.93358420175,-995.77849960721,-3859.30166482572
