"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36"
"u_thr_1",34.6601887403424,394.015745067643,29.8696747174941,56149.4317941397,88500.4191830134,33044.6860355928,49217.5735017889,101843.636080888,143.417664434819,10.9051997428204,14557.9241348045,15525.5060292708,4911.49425692274,14115.3254393798,14493.4566603031,154.123014155487,13.2453744226183,16981.474460215,14243.3738909059,4619.61129553928,12437.5043281033,17216.8811404356,160.000447936892,11.2108982721154,15846.1990740148,16553.8736042898,15044.7425162762,16190.4035353222,126.803447403165,196.806174166542,12.517763342412,22486.2927702053,40261.806568092,8727.24575425415,22542.561956254,38861.2530067239
"l_thr_1",-14.2468432827017,-147.518134944419,-9.73686685303375,-23421.5338744599,-36870.2049212804,-14389.2832252235,-19340.8840221632,-45033.2317235852,-43.6891091282674,-3.20260692470244,-5696.62647991924,-4763.42230411436,-1676.32578217192,-4620.71094986735,-4720.91657127574,-62.4165216778994,-5.4991391189586,-7319.90921486717,-5956.45533044151,-1454.88969972914,-5440.30916776332,-7122.68672902746,-68.8775857542788,-4.86094966285659,-6926.74589176034,-6492.20173986474,-6921.44470797144,-6649.27031637093,-44.3711635076274,-84.1236210047404,-5.21120602843539,-9742.20589915186,-17171.5905555559,-4080.78550070874,-9567.94893979971,-15086.2119907488
"u_thr_2",25.0195482047134,116.929273626897,10.9040096550959,7397.45438494993,7501.81825743267,2771.08796152179,6912.34656831085,8031.47375401871,88.3218184178428,9.77389826958473,5808.02573374391,5571.10242910147,1827.74372599975,4286.87379568667,6166.48223936031,68.1241120139137,7.20056884211104,3914.69656364248,3568.06098774932,1577.5201138923,2827.66665097129,4655.30589900627,68.1510963056091,7.35417593681325,3769.72438448666,2723.44411301857,2784.1564230493,3660.57436509016,62.9787118488765,82.7059401031068,9.02282083794012,3734.84212179558,5682.9656827364,1875.36131948451,2899.13038427296,5736.93888234226
"l_thr_2",-9.16187970867208,-42.9963020287785,-4.17971797869044,-2949.21783439767,-2405.85954569275,-1218.40288558287,-2829.55041576242,-2802.86794535964,-35.2433455559612,-3.96058366939766,-2446.35934927527,-2816.48604150436,-793.579992248514,-1943.84121252671,-2760.9914905818,-25.00308418132,-2.73743252630973,-1677.3347420676,-1499.33020999907,-761.788923900387,-963.488752714244,-2039.42606511617,-25.4556139499388,-2.93226826926801,-1693.63136286311,-1129.4313850735,-1058.15113930442,-1638.67189101429,-27.8597722174753,-30.1202340017449,-3.73998850980243,-1573.97104463052,-1959.90531967063,-729.059802696411,-1119.38244185227,-2107.88884204127
