"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34"
"u_thr_1",22.3062247318579,299.891899471993,24.5408144800945,36353.8775516261,68220.868897345,35189.589523224,71304.0236093778,81.513728338865,7.12542253016854,8114.3354818194,10200.6131240583,7101.42631414066,9523.56152371302,82.760443720005,6.83704662519712,8131.71239201952,10036.8743495495,3973.12805252658,8031.62433739845,8769.25191736734,90.3386880046716,6.19389196200868,8111.56730640337,8817.07864016411,5117.18735631971,8128.48598822118,8500.24344365891,120.038332561307,8.72132155897681,13790.3891426243,30290.5577757157,11592.2052496364,13002.3642948199,29514.180310154
"l_thr_1",-5.24689025844727,-100.862897870752,-7.03748015524527,-11089.9684555521,-27569.8180422133,-11464.2456653861,-29683.797314958,-20.4486361807552,-1.91845105684989,-2115.57306773583,-2305.83921149922,-1983.82289079788,-2307.59156522776,-25.7437445588861,-1.85411036065681,-2632.14739301404,-3089.38849585542,-1140.94871755677,-3009.3281138819,-2405.37280428,-37.3252096584644,-2.20251085261,-2993.85162636623,-2847.09319498285,-1668.11240859546,-3370.68299266852,-2467.73694316356,-26.4121549846537,-2.09782483051404,-3999.08498169077,-9020.84993332222,-3862.59811846721,-2944.71563713708,-8951.37828404042
"u_thr_2",17.8141457078143,100.542150578927,6.75679659978603,18909.7894644887,16422.012078169,12408.4413508644,21710.8317402759,67.2612537745637,6.27887126100242,10357.3204383884,7681.36328438551,4513.76756807223,11554.2779902853,73.3154660383632,7.1506653623238,8543.44719346733,6596.09335483786,6851.40845304159,4682.47682539156,8925.26346141171,82.9081753945847,8.28516702878806,6707.22834509124,6426.7525797487,4024.52989147006,6554.03720219854,6903.77667891033,80.7932278993101,6.85626123572492,5702.8223917967,7527.66210601377,2577.67011182096,5840.09447820668,7173.85936790101
"l_thr_2",-4.79395120931632,-23.1350804558382,-1.95563568136334,-4942.38251361925,-4036.02282195237,-2936.47970457639,-6787.27928923378,-18.1744029891585,-1.65202869088193,-3468.07519363306,-3301.01250454144,-1133.8421246382,-3829.3378224837,-25.8786645604201,-1.97222950129304,-3118.98024641048,-3244.60655828931,-2499.12806741568,-1727.26549853828,-3167.87399804404,-35.6713846217827,-3.67729501029301,-2842.21149070576,-3316.80171787112,-1481.82342845442,-3543.69031006133,-3014.19361982986,-18.7791452816659,-1.64460461364091,-1221.68395873285,-2676.46776160279,-754.40664286928,-1372.20413284802,-2306.12441009294
