"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38"
"u_thr_1",25.5788950772865,220.533639024806,13.9069618982219,38787.4598553504,37981.5532334258,22969.9785160479,25039.690147375,49677.7702936226,132.34124351234,12.0916501774522,20010.0566954173,12535.4011147841,10626.5655017665,9401.63665091433,21877.1287838649,36.0662233016517,114.160780720389,12.0153834855203,13548.2363099434,8852.98326525685,7105.07747182915,6285.44846993281,15266.6312460189,108.577543181232,10.6633234126771,8101.44043025879,7880.07518563843,3669.08564791395,5917.04335166778,9977.41429354715,49.1112895741989,148.776553584136,12.3810523865156,13183.170989581,13898.864748629,3022.9830044919,13330.2592075743,13725.4898419017
"l_thr_1",-8.10339474745747,-89.0504054227684,-5.6457030137691,-16263.0580093577,-16904.8568204305,-8941.68616036525,-11574.9263783837,-20796.4788064681,-56.2886745289204,-4.63013732185332,-8848.62329873549,-5925.48829343248,-4340.54341777732,-4752.1855904755,-9567.31956476507,-12.8672307215651,-46.9448576891595,-4.55372683622981,-6286.82081124317,-4181.92966831541,-2966.00313702444,-2751.94869985616,-6794.65446630637,-42.4452445717894,-3.81181244615362,-3500.36828568923,-3464.70637489293,-1618.19836374387,-2649.93076212362,-4104.62611268994,-14.0880654706019,-65.4404172369899,-5.11762953788773,-7194.2680437987,-6927.47847764896,-1178.38003400222,-7386.1223014077,-6615.91322552241
"u_thr_2",21.3872426581775,132.427200267616,13.066651581958,9286.22187366039,9092.66087149949,2804.3330337157,8231.64641622629,9869.47274046908,101.333792234837,10.4612886006483,6339.91839056014,6302.43720018063,1667.93382121834,5464.00476278512,6470.07781349198,119.43399723153,75.247825211047,8.12561027252592,4188.8264268275,4135.14423128375,1359.22658265843,3493.93143831004,4608.04270556347,69.9655806234882,7.98733772018288,3672.68391350319,3129.55354317922,1031.82224021419,2916.78302212093,3857.20210745531,55.5458607871292,85.02982043325,12.1137145552118,3471.78179594387,8468.2441620525,2781.05102649459,2778.33430493378,9203.74930087672
"l_thr_2",-7.26596165558936,-46.4812253847509,-4.86676615300449,-3533.11187135888,-3912.18713252733,-1173.94099791117,-3086.97821470127,-4253.15117037645,-38.7551953112835,-4.03373539449988,-2639.9011024891,-2782.77681758177,-629.543917544503,-2140.34309221743,-2868.90539978624,-52.5902993840935,-25.0034185261561,-2.83158886272658,-1836.47558334287,-1347.77817129352,-505.582966766866,-1354.65353317816,-1961.35308000307,-26.276662246262,-3.01174628553372,-1596.20658852038,-1287.63901446362,-417.750534699109,-1120.21360090136,-1639.55635914742,-21.160221259048,-34.4871466121021,-4.92475893758215,-1483.99194338597,-4034.69796014989,-1355.98047042539,-1175.4981569663,-4481.35171081155
