"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34"
"u_thr_1",22.006085171833,285.285161366046,26.0336589796578,44829.5376886894,61697.8675322798,36253.027451607,68419.6662711585,78.4411298137461,6.63696752926935,9157.04096724981,11515.1518361532,8691.76427116639,8999.0786271355,85.4042049237225,9.13461044016625,10672.1925835093,9662.2190422297,3853.56683359288,7295.6037609022,12049.6159555876,71.4905545116718,6.52983606503393,8101.67867314202,8783.20435574536,4924.9875676076,8321.15874738502,8342.52558639434,122.102452253891,8.74176917276583,13544.0763304577,26880.0795134431,8722.01986454611,13613.2252742951,28436.0218943615
"l_thr_1",-3.26814863763694,-86.2407054914383,-9.54194804166474,-18217.7575080027,-21161.3988372635,-12030.6223471552,-24983.8044461367,-20.81709858495,-1.6408971171178,-2681.67754653386,-3893.19516291083,-2594.48235323044,-2022.10143962571,-27.8732725858438,-2.86612311891644,-3741.6414179038,-3507.27133028001,-527.847832957471,-2443.45285927847,-4516.49316252731,-18.6079436540893,-1.75826406120738,-1928.44435284722,-3001.62713774824,-1249.20675055591,-2704.37743794466,-1879.21674939114,-37.7053322909901,-2.86116636056395,-4166.71763856332,-7569.61410238492,-3011.95299116781,-3791.24901885301,-7425.78213881065
"u_thr_2",19.5573406959639,126.031263093454,7.70948725628179,21870.4348358993,20371.0516320342,15936.1997188419,30204.6874649983,68.6780601766326,6.90968337317507,10664.8273450475,6773.71368301134,5237.13943960973,11987.1994451752,68.6491325601797,7.73144392831727,8828.43763343462,4422.99962450149,4541.83818433189,4951.45860766118,9131.4811885123,68.6666659589502,6.10855908391335,5268.9121001525,4915.67011422502,2904.37492602,4034.33363345473,5805.99212572874,84.2643573753423,7.37111909677753,6211.70022287388,7563.74175333491,3370.827952022,5879.45043633637,7909.5345961762
"l_thr_2",-3.47995930746443,-28.8513732955374,-2.08060754193951,-4251.44801473759,-6254.40685871937,-4510.76514398821,-9877.37224105938,-7.64672064037545,-1.52600206148878,-2679.00410366707,-1701.82802458869,-1046.83618325695,-3631.75946797182,-18.4385800367319,-1.38257433003711,-3131.54219889002,-1228.50910429658,-1581.30853939424,-1721.50320902205,-2402.76465337081,-26.4817751243727,-1.55230149850654,-1702.88608662162,-1855.99237088122,-783.08293578305,-1551.5755817279,-1488.99788374366,-21.003746864761,-2.05365809670487,-1077.57400276021,-3099.07814773678,-1012.50194457197,-1521.13997636925,-2852.57489722012
